id,concepts
265,Concept FOWL
266,Concept SCALE
267,Concept NIT
268,Concept DRIBBLE
269,Concept COOKED
270,Concept JUG
271,Concept SAUCER
272,Concept TONGS
273,Concept DOUGH
274,Concept KNEAD
275,Concept PEEL
276,Concept BANISTERIUM
277,Concept SPINDLE
278,Concept AWL
279,Concept THATCH
280,Concept RIDGEPOLE
281,Concept POST
284,Concept HOE
285,Concept THRESH
286,Concept NEEDLE TREE
287,Concept CONE
288,Concept FORGE
289,Concept MOLD
290,Concept ADZE
291,Concept PULL OFF (SKIN)
292,Concept RUG
293,Concept NETBAG
294,Concept TUMPLINE
295,Concept WHETSTONE
296,Concept CROUCH
297,Concept CROOKED
298,Concept SHRIEK
299,Concept SCOLD
300,Concept RATTLE
301,Concept CHIEFTAIN
302,Concept CLAN
303,Concept ABSTAIN FROM FOOD
304,Concept PREACH
305,Concept GRANDPARENTS
306,Concept PARENTS-IN-LAW
307,Concept HAWK
308,Concept TOUCAN
309,Concept OPOSSUM
310,Concept HEAD LOUSE
311,Concept BODY LOUSE
312,Concept TAPIR
313,Concept AGOUTI
314,Concept CAPYBARA
315,Concept CURASSOW
316,Concept PACA
317,Concept PIRANHA
318,Concept FOOTPRINT
319,Concept LICK
320,Concept LAME
321,Concept CHEW
322,Concept FIG
323,Concept FAT (ORGANIC SUBSTANCE)
324,Concept MANIOC FLOUR
325,Concept FELT
326,Concept CLOAK
327,Concept PONCHO
328,Concept GRASS-SKIRT
329,Concept STOCKING
330,Concept HEADBAND
331,Concept HEADDRESS
332,Concept RAG
333,Concept PLAIT
334,Concept COOKHOUSE
335,Concept MEETING HOUSE
336,Concept PADLOCK
337,Concept PITCHFORK
338,Concept RAKE
339,Concept DIGGING STICK
340,Concept LASSO
341,Concept SICKLE
342,Concept HAY
343,Concept VINE
344,Concept TREE TRUNK
345,Concept SAP
346,Concept BANYAN
347,Concept SORGHUM
348,Concept FISH POISON
349,Concept ACHIOTE
351,Concept TARO
352,Concept UNTIE
353,Concept STRIKE
354,Concept POUND
355,Concept CUT DOWN
356,Concept SHEARS
357,Concept HANG UP
358,Concept TINPLATE
359,Concept POTTER
360,Concept FAN ACTION
361,Concept PEG
362,Concept STRING
363,"Concept DWELL (LIVE, RESIDE)"
365,Concept SPLASH
366,Concept LIMP
367,Concept RIDE
369,Concept OWE
371,Concept PICK UP
372,Concept POINTED
374,Concept ONE TIME
375,Concept SNIFF
376,Concept FRAGRANT
377,Concept LOUD
378,Concept PINCH
379,Concept BLUNT
380,Concept WRINKLED
381,Concept BLAME
383,Concept MASTER
384,Concept FREEMAN
386,Concept BATTLE-AXE
387,Concept SLING
388,Concept FISHNET
389,Concept FISH TRAP
390,Concept PUNISHMENT
391,Concept BLESS
392,Concept MAGIC
393,Concept CIRCUMCISION
394,Concept SHAMAN (FOLK HEALER)
395,Concept PILL
397,Concept BIRTH CERTIFICATE
398,Concept PIERCE
399,Concept PLANTAIN
400,Concept MUSH
402,Concept SURPASS
403,Concept GARDEN-HOUSE
404,Concept ALCOHOL (FERMENTED DRINK)
405,Concept OLDER SIBLING
406,Concept OLD MAN
407,Concept MANIOC BREAD
408,Concept MEN'S HOUSE
409,Concept FORKED BRANCH
410,Concept YAM
411,Concept GOURD
412,Concept CARRY IN HAND
413,Concept CARRY ON SHOULDER
414,Concept CARRY ON HEAD
415,Concept CARRY UNDER ARM
416,Concept OUTRIGGER
417,Concept THREE TIMES
418,Concept FOR A LONG TIME
419,Concept SEVERE
420,Concept FOREST
421,Concept RETREAT
423,Concept GET LOST
424,Concept MARRIED MAN
425,Concept BE LATE
426,Concept MARRIED WOMAN
427,Concept YOUNGER SIBLING
429,Concept SWIDDEN FIELD
430,Concept TWIST
431,Concept UPPER ARM
432,Concept BLOWGUN
433,Concept HOWLER MONKEY
434,Concept SPIDER MONKEY
435,Concept COLLARED PECCARY
436,Concept WHITE-LIPPED PECCARY
437,Concept GUAN
438,Concept CHIGGOE (JIGGER FLEA)
439,Concept CEBUS MONKEY
440,Concept CHONTA PALM
441,Concept CHICHA
442,Concept FRONT TOOTH (INCISOR)
443,Concept TIP (OF TONGUE)
444,Concept LONG HAIR
445,Concept UPPER BACK
446,Concept LOWER ARM
447,Concept LOWER LEG
448,Concept STORM CLOUDS
449,Concept CORN FIELD
450,Concept CUSHMA
451,Concept HARMATTAN
452,Concept DRY SEASON
453,Concept RAINY SEASON
454,Concept SHEA NUT TREE
455,Concept MAHOGANY TREE
456,Concept GUINEA FOWL
457,Concept BLIND PERSON
458,Concept DEAF PERSON
459,Concept SNAPP (OF STICK)
460,Concept BREAK (OF ROPE)
461,Concept BOUBOU
462,Concept WRAPPER
463,Concept FELL (A TREE)
465,Concept CARRY ON BACK
466,Concept CASSOWARY
467,Concept CRAYFISH
468,Concept G-STRING
469,Concept PANDANUS
470,Concept POSSUM
472,Concept PELICAN
474,Concept DRESS
475,Concept UNTRUTH
476,Concept CUP
477,Concept LATE
478,Concept LIP
479,Concept GROW
480,Concept PLATE
481,Concept DISH
482,Concept NOBLE
483,Concept COMPOUND
484,Concept CONDEMN
485,Concept DISAPPEAR
486,Concept MINISTER
487,Concept SHY
488,Concept MANNER
489,Concept KIDNEY
490,Concept DESCENDANTS
492,Concept THREE
493,Concept FIVE
496,Concept CUCUMBER
497,Concept SCAR
498,Concept CALF OF LEG
499,Concept CURE
501,Concept LIFT
502,Concept NAIL (TOOL)
503,Concept FROG
504,Concept LEARN
505,Concept PARENTS
506,Concept MAIZE
507,Concept MELON
509,Concept CERTAIN
511,Concept BAOZI
513,Concept THIS YEAR
514,Concept LAST YEAR
515,Concept NEXT YEAR
516,Concept PERSON (CLASSIFIER)
518,Concept SPARK
519,Concept SPOT
522,Concept WOLF
525,Concept BLOOD VESSEL
526,Concept HOWL
531,Concept HOW MUCH
534,Concept HUMP
537,Concept TURBID
539,Concept NEST
540,Concept PALATE
544,Concept SPICY
549,Concept COPULATE
552,Concept GROW UP
554,Concept HINDER
558,Concept PASS BY
565,Concept OLD (OF MAN)
568,Concept RISE (MOVE UPWARDS)
569,Concept SPOIL (BECOME SPOILED)
570,Concept STAND UP
571,Concept STING
573,Concept SWAY
574,Concept TRANSIT
575,Concept TREAD
576,Concept DANDRUFF
578,Concept KISS
579,Concept BATTLE
580,Concept FUR
581,Concept COME BACK
582,Concept LEND
584,Concept DIFFICULT
585,Concept BOOT
586,Concept GARDEN
587,Concept ANT
588,Concept BROKEN
589,Concept CLOSED
590,Concept NAKED
591,Concept ADDRESS
592,Concept PISS
593,Concept POTATO
594,Concept PIECE
595,Concept GROUNDNUTS
596,Concept POSTAGE STAMP
597,Concept PHYSICIAN
598,Concept SHELL
599,Concept DRIVER'S LICENSE
600,Concept STRANGE
601,Concept LIE (MISLEAD)
602,Concept HIDE (CONCEAL)
603,Concept COAT
604,Concept GLASS
605,Concept GRAIN
606,Concept GRASS
607,Concept GRASSHOPPER
609,Concept HAIL
610,Concept PORT
611,Concept HARVEST
612,Concept HEAT
613,Concept HIGH TIDE
614,Concept HILL
615,Concept HORSE
616,Concept HOSPITAL
617,Concept ICE
618,Concept PRECIPICE
619,Concept ANIMAL
620,Concept INSECT
621,Concept IRON
622,Concept ISLAND
623,Concept LAGOON
624,Concept LAKE
625,Concept LAMP
626,Concept LAND
627,Concept LEAD (CHEMICAL ELEMENT)
628,Concept LEAF
629,Concept LEATHER
630,Concept LIGHT (RADIATION)
631,Concept LIVESTOCK
632,Concept LIZARD
633,Concept MARKET
634,Concept MEAT
635,Concept MILK
636,Concept MILL
638,Concept MOTORCYCLE
639,Concept MOUNTAIN
640,Concept MUD
641,Concept MUSHROOM
642,Concept MUSIC
643,Concept NEED (NOUN)
644,Concept OAK
645,Concept OCEAN
646,Concept ASH
647,Concept PAINT (PIGMENTS)
648,Concept PAPER
649,Concept PASTURE
650,Concept PETROLEUM
651,Concept SEAL
652,Concept PLAIN
653,Concept PLANT (VEGETATION)
654,Concept PLASTIC
655,Concept POISON
656,Concept POLICE
657,Concept PRICE
658,Concept RAIN (PRECIPITATION)
659,Concept REED
660,Concept REEF
661,Concept RELIGION
662,Concept BATTERY
663,Concept BAY
665,Concept BEE
666,Concept RIVER
667,Concept ROAD
668,Concept ROCK
670,Concept ROOT
671,Concept SAND
672,Concept EARLY
673,Concept SCHOOL
674,Concept MOUTH
675,Concept FAECES (EXCREMENT)
676,Concept SHIT (DEFECATE)
677,Concept AXE
678,Concept BEARD
679,Concept BRIGHT
680,Concept BREAK (DESTROY OR GET DESTROYED)
681,Concept DESTROY
682,Concept SIDE
683,Concept PERSON
684,Concept OWN
686,Concept EASY
687,Concept NOTHING
688,Concept LUNG
689,Concept BETWEEN
690,Concept BOTTOM
691,Concept SEASON
692,Concept BRING
693,Concept FROM
694,Concept GET
695,Concept GO
696,Concept STIR
698,Concept WISE
699,Concept SAD
700,Concept CARRY
701,Concept SLOW
702,Concept CATCH
703,Concept SOON
704,Concept CLEAN
705,Concept GO UP (ASCEND)
706,Concept DARK
707,Concept REMEMBER
708,Concept SHINE
709,Concept TEACH
710,Concept WHEEL
711,Concept TALL
712,Concept RICH
713,Concept STEAL
714,Concept SEED
715,Concept SHOUT
716,Concept GROAN
717,Concept SWEET
718,Concept PAY
719,Concept FIND
720,Concept GOOD LUCK
721,Concept LOW
722,Concept ATTACK
723,Concept PLACE (POSITION)
724,Concept READ
725,Concept OLD PERSON
726,Concept WHILE
727,Concept WHICH
728,Concept FIRST
729,Concept DAWN
730,Concept SNAKE
731,Concept BEVERAGE
732,Concept YOUR (SINGULAR)
733,Concept EARN
734,Concept MAKE
735,Concept OWL
736,Concept YARD
737,Concept LIGHT (IGNITE)
738,Concept THING
739,Concept FEED
740,Concept SHIP
741,Concept DRIVE
742,Concept END (OF SPACE)
743,Concept END (OF TIME)
744,Concept EGG
745,Concept SHELF
746,Concept SHOP
747,Concept BICYCLE
748,Concept SOW SEEDS
749,Concept ENTER
750,Concept DROP
751,Concept SHRUB
752,Concept STORE
753,Concept PUPIL (STUDENT)
754,Concept HURRY
755,Concept DENY
757,Concept BUTTON
758,Concept HERON
759,Concept SILVER
760,Concept KNOT
761,Concept COVER
762,Concept OUTSIDE
763,Concept SKIN
764,Concept SUIT
765,Concept MOVE
767,Concept CORPSE
768,Concept LUNCH
769,Concept ROOF
770,Concept EARRING
771,Concept HAT
772,Concept BELT
773,Concept HAVE
774,Concept CABBAGE
777,Concept FLUTE
778,Concept SMOKE (EXHAUST)
779,Concept PART
780,Concept OUR
781,Concept FEAR (FRIGHT)
782,Concept DEFEAT
783,Concept VICTORY
784,Concept SNOW
785,Concept STRONG
786,Concept SAILCLOTH
787,Concept SAIL
788,Concept SOAP
789,Concept PEOPLE
790,Concept READY
791,Concept STRANGER
792,Concept BOIL (OF LIQUID)
793,Concept BOIL (OF SKIN)
794,Concept PEN
796,Concept NIPPLE
797,Concept TESTICLES
798,Concept JAW
799,Concept WRIST
800,Concept THIGH
801,Concept RIB
802,Concept ADAM'S APPLE
803,Concept ANKLE
804,Concept WOMB
805,Concept SPINE
806,Concept BLANKET
808,Concept DRIP (FALL IN GLOBULES)
809,Concept TROUSERS
810,Concept LOCUST
811,Concept SOUL
812,Concept SLAVE
813,Concept DO
814,Concept DRESS UP
815,Concept GOVERNMENT
816,Concept HALF
817,Concept THEY
818,Concept WILLOW
819,Concept STOMACH
820,Concept LAMB
822,Concept HOW MANY
823,Concept SORCERER
825,Concept AWAKE
827,Concept ROLL
828,Concept RACCOON
829,Concept RAFTER
830,Concept SOOT
832,Concept BEAN
833,Concept ENDURE
834,Concept BUTTOCKS
836,Concept SCREWDRIVER
837,Concept BLUE
838,Concept REMAINS
840,Concept CORMORANT
841,Concept FISHING SPEAR
842,Concept LIQUOR
843,Concept SPIDER
844,Concept KIND (THING)
845,Concept MURDER
846,Concept TIGER
847,Concept THIRSTY
848,Concept THIRST
849,Concept SPRING (OF WATER)
850,Concept SQUARE
851,Concept STABLE
852,Concept PRIEST
853,Concept ALTAR
854,Concept KETTLE
855,Concept SEIZE
856,Concept HIRE
857,Concept STONE
858,Concept STORM
859,Concept STOVE
860,Concept CAUSE
861,Concept JUDGE
862,Concept SUGAR
863,Concept EDGE
864,Concept PUMPKIN
866,Concept WIN
867,Concept GLOVE
868,Concept BANANA
870,Concept BREATH
871,Concept RATTLESNAKE
873,Concept TAX
874,Concept CANDY
875,Concept SHOEMAKER
876,Concept ARCH
877,Concept MASON
878,Concept HELL
879,Concept COUGH
881,Concept TAILOR
882,Concept PARROT
883,Concept TERMITE
884,Concept SHARE
885,Concept OPPOSITE
886,Concept PARAKEET
887,Concept BITTER
889,Concept FLAME
890,Concept MULE
891,Concept TIDE
892,Concept TIME
893,Concept TIN (METAL)
894,Concept TOAD
895,Concept TORTOISE
896,Concept ANACONDA (WATER BOA)
897,Concept SWALLOW
899,Concept PRESIDENT
900,Concept TRAIN
901,Concept ADOBE
902,Concept ADULTERY
904,Concept BERRY
906,Concept TREE
907,Concept OLD WOMAN
908,Concept DRUM
909,Concept GARBAGE
910,Concept DEATH
911,Concept TEMPLE
912,Concept COYOTE
913,Concept CROW
914,Concept SCULPTOR
915,Concept SINK (BASIN)
916,Concept LINEN
917,Concept ORNAMENT
919,Concept CHILI PEPPER
920,Concept GRAPE
921,Concept VALLEY
922,Concept PEAR
923,Concept LOVE
924,Concept VEGETABLES
925,Concept CASSAVA
926,Concept RICE
928,Concept EMBRACE
930,Concept VILLAGE
931,Concept MILLET
932,Concept BARLEY
933,Concept WALL (OF HOUSE)
934,Concept BUFFALO
935,Concept WAR
936,Concept STALLION
937,Concept BIRD
938,Concept MARE
939,Concept HORN (INSTRUMENT)
940,Concept STRAIN
941,Concept MEAD
942,Concept HONEY
943,Concept WATERFALL
945,Concept SPEAR
946,Concept BLOOD
947,Concept STREAM
948,Concept WATER
950,Concept SEAGULL
951,Concept WEAPONS
952,Concept WEATHER
953,Concept RAPE
954,Concept WELL
956,Concept FLEE
957,Concept WHALE
958,Concept WILD ANIMAL
960,Concept WIND
961,Concept PEBBLES
962,Concept WOMAN
963,Concept BOOK
964,Concept WOOL
965,Concept WORLD
966,Concept BRAKE
968,Concept ACORN
969,Concept CIGARETTE
970,Concept COCONUT
971,Concept MUST
972,Concept BE ABLE
973,Concept NOODLE
974,Concept TOBACCO
976,Concept WEAR
977,Concept ARROW
978,Concept WAVE
979,Concept FARMER
980,Concept HEEL
981,Concept ELBOW
982,Concept LIME (FRUIT)
983,Concept CONVICT
984,Concept WORK (LABOUR)
985,Concept VINEGAR
986,Concept TOMATO
987,Concept REMAIN
988,Concept ACQUIT
989,Concept CLEAR
990,Concept CREEK (TIDAL)
991,Concept FRY
992,Concept CLIFF
994,Concept BOW
996,Concept DEAF
997,Concept BAOBAB TREE
998,Concept PUT
999,Concept JOINT
1000,Concept ANXIETY
1001,Concept BLACKSMITH
1002,Concept STATUE
1003,Concept PERMIT
1005,Concept TWINS
1006,Concept BRICK
1007,Concept COW
1008,Concept BULL
1010,Concept BOUNDARY
1011,Concept BRIDGE
1012,Concept LATCH
1013,Concept FRESHWATER EEL
1014,Concept OR
1016,Concept DRIZZLE
1018,Concept MEMORY
1019,Concept RIGHT
1021,Concept TOWEL
1022,Concept BOOTY
1023,Concept STUMP OF TREE
1024,Concept CHARACTER
1025,Concept WHISTLE
1026,Concept LOW TIDE
1027,Concept BUG
1028,Concept YAWN
1029,Concept JEWEL
1030,Concept NECESSARY
1032,Concept CITIZEN
1033,Concept GRIND
1034,Concept DEFENDANT
1035,Concept GOOD
1036,Concept OWNER
1038,Concept TEACHER
1039,Concept SHOW
1040,Concept HAIR
1041,Concept INCREASE
1042,Concept CARPENTER
1043,Concept BRAID
1044,Concept PILLOW
1045,Concept POET
1046,Concept SHUT
1047,Concept PURSUE
1048,Concept LINE
1049,Concept MOLAR TOOTH
1050,Concept MOTHER-IN-LAW
1051,Concept CAN
1052,Concept LIGHT (WEIGHT)
1053,Concept HUNTER
1054,Concept SMALLPOX
1055,Concept FATHER-IN-LAW
1056,Concept SON-IN-LAW
1057,Concept DAUGHTER-IN-LAW
1058,Concept STEPDAUGHTER
1059,Concept STEPSON
1060,Concept CHILD-IN-LAW
1061,Concept ARMOUR
1062,Concept LAW
1063,Concept NEPHEW
1064,Concept SHIELD
1065,Concept SPIDER WEB
1066,Concept CRIME
1067,Concept JUDGMENT
1068,Concept COURT
1069,Concept GLUE
1070,Concept BUS
1071,Concept HOOK
1072,Concept PRISONER
1074,Concept FISHHOOK
1075,Concept TRAP (PITFALL)
1076,Concept EMERGE (APPEAR)
1077,Concept WHEAT
1079,Concept FEEL
1081,Concept BILL
1082,Concept MERCHANT
1084,Concept CALL
1085,Concept FOLLOW
1086,Concept WORK (ACTIVITY)
1087,Concept CONCEIVE
1088,Concept SINK (DESCEND)
1090,Concept BE BORN
1091,Concept SALTY
1092,Concept HOPE
1093,Concept MIDDLE
1094,Concept FASTEN
1095,Concept LET GO OR SET FREE
1096,Concept SONG
1098,Concept WEIGH
1100,Concept COOK (SOMETHING)
1102,Concept CLIMB
1103,Concept SACRIFICE
1104,Concept NURSE
1105,Concept CAMP
1106,Concept FALL ASLEEP
1107,Concept GO OUT
1108,Concept UNCOVER
1109,Concept WOUND
1110,Concept SHARK
1111,Concept CAR
1112,Concept SUCCEED
1113,Concept WRAP
1114,Concept BULLET
1115,Concept SPEECH
1116,Concept DAMAGE
1117,Concept LIKE
1118,Concept ACCUSTOM
1119,Concept DIVIDE
1120,Concept HONEST
1121,Concept SECRET
1122,Concept WAGES
1123,Concept PREGNANT
1124,Concept PIPE
1125,Concept BALD
1126,Concept CITRUS FRUIT
1127,Concept SEND
1128,Concept ORDER
1129,Concept PAINFUL
1130,Concept WE (EXCLUSIVE)
1131,Concept WE (INCLUSIVE)
1132,Concept BEAM
1133,Concept MATCH
1134,Concept DIVORCE
1135,Concept KICK
1136,Concept RABBIT
1137,Concept TENDON
1139,Concept LEOPARD
1140,Concept FATIGUE
1141,Concept PITY
1142,Concept URINE
1143,Concept OVEN
1144,Concept WITNESS
1145,Concept SWAMP
1146,Concept AUBERGINE
1147,Concept PURE
1148,Concept BRUISE
1149,Concept ORPHAN
1150,Concept THUNDER
1151,Concept VEIL
1152,Concept BEGET
1153,Concept CATTLE
1154,Concept OLIVE
1155,Concept CAVE
1156,Concept OPEN
1157,Concept BECAUSE
1158,Concept STEP
1159,Concept FART
1160,Concept THIEF
1161,Concept THREAD
1162,Concept INTENTION
1165,Concept MOUSTACHE
1166,Concept MOULD
1167,Concept GRUEL
1169,Concept OX
1170,Concept TRAP (CATCH)
1171,Concept MIRROR
1172,Concept SHOOT
1173,Concept EYEBROW
1174,Concept YESTERDAY
1175,Concept GHOST
1176,Concept SPADE
1178,Concept NOSTRIL
1179,Concept DAY AFTER TOMORROW
1180,Concept DAY BEFORE YESTERDAY
1181,Concept PALM TREE
1182,Concept NOISE
1183,Concept PALM OF HAND
1184,Concept DIMINISH
1185,Concept VULTURE
1186,Concept LAST (ENDURE)
1187,Concept GOOSE
1188,Concept CHARCOAL
1189,Concept ULCER
1190,Concept HARE
1191,Concept COOKED RICE
1192,Concept THREATEN
1193,Concept STEAM
1194,Concept BEAVER
1195,Concept GIVE BIRTH
1197,Concept BABOON
1198,Concept MANY
1199,Concept WIFE
1200,Concept HUSBAND
1201,Concept FEATHER
1202,Concept BIG
1203,Concept LONG
1204,Concept BARK
1205,Concept TONGUE
1206,Concept BARKING
1207,Concept YOUNG
1208,Concept CAT
1209,Concept I
1210,Concept HEAVY
1211,Concept HE
1212,Concept WE
1213,Concept YOU
1214,Concept THIS
1215,Concept THOU
1216,Concept MOTHER
1217,Concept FATHER
1218,Concept ROPE
1219,Concept WORM
1220,Concept TAIL
1221,Concept NOSE
1222,Concept PENIS
1223,Concept HEART
1224,Concept LIVER
1225,Concept DAY (NOT NIGHT)
1226,Concept YEAR
1227,Concept BOARD
1228,Concept EARTH (SOIL)
1229,Concept OLD
1230,Concept DIRTY
1231,Concept NEW
1232,Concept WARM
1233,Concept NIGHT
1234,Concept SMOOTH
1235,Concept WHO
1236,Concept WHAT
1237,Concept WHERE
1238,Concept WHEN
1239,Concept HOW
1240,Concept NOT
1241,Concept SOME
1242,Concept FEW
1243,Concept WIDE
1244,Concept THICK
1245,Concept BUTTER
1246,Concept SMALL
1247,Concept EAR
1248,Concept EYE
1249,Concept SPIKE
1250,Concept JAGUAR
1251,Concept BELLY
1252,Concept HOUSE
1253,Concept RAIN (RAINING)
1254,Concept HANDLE
1256,Concept HEAD
1257,Concept WING
1258,Concept FINGERNAIL
1259,Concept WEDDING
1260,Concept DAY (24 HOURS)
1261,Concept SING
1262,Concept BROTHER
1263,Concept SISTER
1264,Concept CHANGE
1265,Concept HIGH
1266,Concept BRIDE
1267,Concept NARROW
1268,Concept YES
1269,Concept NO
1270,Concept WHY
1271,Concept DELIGHT
1272,Concept AUNT
1273,Concept CANDLE
1274,Concept SALT
1275,Concept ANSWER
1276,Concept AUTUMN
1277,Concept HAND
1278,Concept VOMIT
1279,Concept FAT (OBESE)
1280,Concept FALL
1281,Concept PRISON
1282,Concept FAT (FROM ANIMALS)
1283,Concept TODAY
1284,Concept BANK
1286,Concept HOT
1287,Concept COLD
1288,Concept CAP
1289,Concept BABY
1290,Concept ELEPHANT
1291,Concept BACK
1292,Concept BAD
1293,Concept MISTAKE
1294,Concept ZERO
1295,Concept STICK
1296,Concept WALKING STICK
1297,Concept LEG
1298,Concept NEWSPAPER
1299,Concept COFFEE
1300,Concept COUNTRY
1301,Concept FOOT
1302,Concept FORK
1303,Concept FINGER
1304,Concept CHILD (YOUNG HUMAN)
1305,Concept CHIMNEY
1306,Concept QUEEN
1307,Concept LANGUAGE
1308,Concept DOUBT
1309,Concept ASK (INQUIRE)
1310,Concept CLEVER
1311,Concept VERY
1312,Concept FOX
1313,Concept MOON
1314,Concept QUIET
1315,Concept RADIO
1316,Concept TENT
1318,Concept CHICKEN
1319,Concept COWARD
1320,Concept APPLE
1321,Concept BOTTLE
1322,Concept BREAKFAST
1323,Concept CLOCK
1324,Concept SLIP
1325,Concept FRIEND
1326,Concept DOWN
1327,Concept UNCLE
1329,Concept TOMORROW
1330,Concept DEFEND
1331,Concept SHEEP
1332,Concept NEIGHBOUR
1333,Concept NECK
1334,Concept GUTS
1335,Concept WHITE
1336,Concept EAT
1337,Concept PIG
