affiliation,glottocode,language,iso,level,area,latitude,longitude
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Eastern Timoric A,Luangic-Kisaric,Kisaric",kisa1266,Kisar,kje,language,Papunesia,-8.05122,127.18
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Eastern Timoric A,Luangic-Kisaric,Kisaric",roma1332,Roma,rmm,language,Papunesia,-7.58643,127.428
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Eastern Timoric A,Luangic-Kisaric,Luangic",leti1246,Leti (Indonesia),lti,language,Papunesia,-8.19808,127.674
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Eastern Timoric A,Luangic-Kisaric,Luangic",luan1263,Luang,lex,language,Papunesia,-8.18378,127.944
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Eastern Timoric A,Luangic-Kisaric,Luangic,Luang",nucl1536,Nuclear Luang,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Eastern Timoric A,Luangic-Kisaric,Luangic,Luang,Nuclear Luang",lako1246,Lakor,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Eastern Timoric A,Luangic-Kisaric,Luangic,Luang,Nuclear Luang",luan1264,Luang island,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Eastern Timoric A,Luangic-Kisaric,Luangic,Luang,Nuclear Luang",moaa1237,Moa,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Eastern Timoric A,Luangic-Kisaric,Luangic,Luang,Nuclear Luang",serm1234,Sermata,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Eastern Timoric A,Luangic-Kisaric,Luangic,Luang",weta1243,Wetan,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Eastern Timoric A",maku1277,Maku'a,lva,language,Papunesia,-8.40372,127.239
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A",east2472,East Damar,dmr,language,Papunesia,-7.16991,128.636
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A",galo1243,Galoli-Talur,gal,language,Papunesia,-8.61074,125.959
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Galoli-Talur",baba1272,Baba (East Timor),NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Galoli-Talur",edii1237,Edi,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Galoli-Talur",haha1243,Hahak,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Galoli-Talur",nana1259,Na Nahek,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Galoli-Talur",nucl1541,Nuclear Galoli,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Galoli-Talur",talu1239,Talur,ilw,dialect,Papunesia,-7.88553,126.336
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Galoli-Talur,Talur",hiay1237,Hiay,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Galoli-Talur,Talur",ilpu1240,Ilputih (Talur),NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Galoli-Talur,Talur",ilwa1238,Ilwaki,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Teun-Nila-Serua,Nila-Serua",nila1244,Nila,nil,language,Papunesia,-6.734956,129.512131
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Teun-Nila-Serua,Nila-Serua",seru1245,Serua,srw,language,Papunesia,-6.31107,130.017294
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Teun-Nila-Serua",teun1241,Te'un,tve,language,Papunesia,-6.97086,129.143718
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Wetar",iliu1237,Ili'uun,ilu,language,Papunesia,-7.84385,125.902
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Wetar,Iliuun",dadu1237,Dadu'a,NA,dialect,Papunesia,-8.486,125.8637
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Wetar,Iliuun",eray1237,Eray,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Wetar,Iliuun",esul1241,Esulit,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Wetar,Iliuun",ilma1240,Ilmaumau,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Wetar,Iliuun",karb1242,Karbubu,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Wetar,Iliuun",klis1237,Klishatu,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Wetar,Iliuun",naba1254,Nabar,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Wetar,Iliuun",tele1255,Telemar,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Wetar,Iliuun",ustu1237,Ustutun,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Wetar,Perai-Tugun-Aputai,Perai-Aputai",aput1237,Aputai,apx,language,Papunesia,-7.84732,126.496
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Wetar,Perai-Tugun-Aputai,Perai-Aputai,Aputai",ilpu1239,Ilputih (Aputai),NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Wetar,Perai-Tugun-Aputai,Perai-Aputai,Aputai",lura1237,Lurang,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Wetar,Perai-Tugun-Aputai,Perai-Aputai,Aputai",wele1238,Welemur,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Wetar,Perai-Tugun-Aputai,Perai-Aputai",pera1257,Perai,wet,language,Papunesia,-7.62349,126.576
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Wetar,Perai-Tugun-Aputai,Perai-Aputai,Perai",moni1260,Moning,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Wetar,Perai-Tugun-Aputai,Perai-Aputai,Perai",uhak1237,Uhak,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Wetar,Perai-Tugun-Aputai",tugu1245,Tugun,tzn,language,Papunesia,-7.72555,126.7
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Wetar,Perai-Tugun-Aputai,Tugun",arwa1237,Arwala,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Wetar,Perai-Tugun-Aputai,Tugun",ilpo1237,Ilpokil,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Wetar,Perai-Tugun-Aputai,Tugun",kaha1239,Kahailin Ilway,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Wetar,Perai-Tugun-Aputai,Tugun",mahu1237,Mahuan,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Wetar,Perai-Tugun-Aputai,Tugun",masa1306,Masapua,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Northern Timoric A,Wetar,Perai-Tugun-Aputai,Tugun",toml1237,Tomliapat,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A",helo1243,Helong,heg,language,Papunesia,-10.2647,123.377
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Helong",funa1237,Funai,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Helong",helo1244,Helong Darat,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Helong",helo1245,Helong Pulau,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Central-Eastern Rote-Meto,Eastern-East-Central Rote-Meto",bilb1242,Bilba,bpz,language,Papunesia,-10.6503,123.307
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Central-Eastern Rote-Meto,Eastern-East-Central Rote-Meto,Bilba",boka1251,Bokai,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Central-Eastern Rote-Meto,Eastern-East-Central Rote-Meto,Bilba",diuu1237,Diu,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Central-Eastern Rote-Meto,Eastern-East-Central Rote-Meto,Bilba",lele1271,Lelenuk,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Central-Eastern Rote-Meto,Eastern-East-Central Rote-Meto,Bilba",nucl1537,Nuclear Bilba,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Central-Eastern Rote-Meto,Eastern-East-Central Rote-Meto,Eastern Rote-Meto",ring1244,Ringgou,rgu,language,Papunesia,-10.5515,123.311
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Central-Eastern Rote-Meto,Eastern-East-Central Rote-Meto,Eastern Rote-Meto,Ringgou",land1257,Landu,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Central-Eastern Rote-Meto,Eastern-East-Central Rote-Meto,Eastern Rote-Meto,Ringgou",nucl1538,Nuclear Ringgou,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Central-Eastern Rote-Meto,Eastern-East-Central Rote-Meto,Eastern Rote-Meto,Ringgou",oepa1237,Oe Pao,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Central-Eastern Rote-Meto,Eastern-East-Central Rote-Meto,Eastern Rote-Meto,Uab Metoic",amar1273,Amarasi,aaz,language,Papunesia,-10.21751,123.96373
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Central-Eastern Rote-Meto,Eastern-East-Central Rote-Meto,Eastern Rote-Meto,Uab Metoic,Amarasi",koto1251,Kotos,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Central-Eastern Rote-Meto,Eastern-East-Central Rote-Meto,Eastern Rote-Meto,Uab Metoic,Amarasi",rois1241,Ro'is,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Central-Eastern Rote-Meto,Eastern-East-Central Rote-Meto,Eastern Rote-Meto,Uab Metoic,Amarasi",rois1243,Ro'is Hero,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Central-Eastern Rote-Meto,Eastern-East-Central Rote-Meto,Eastern Rote-Meto,Uab Metoic,Amarasi",rois1242,Ro'is Tais Nonof,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Central-Eastern Rote-Meto,Eastern-East-Central Rote-Meto,Eastern Rote-Meto,Uab Metoic,Northeast Meto",baik1238,Baikeno,bkx,language,Papunesia,-9.32991,124.256
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Central-Eastern Rote-Meto,Eastern-East-Central Rote-Meto,Eastern Rote-Meto,Uab Metoic,Northeast Meto,Baikeno",kais1241,Kais Metan,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Central-Eastern Rote-Meto,Eastern-East-Central Rote-Meto,Eastern Rote-Meto,Uab Metoic,Northeast Meto,Baikeno",taib1241,Tai Boko,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Central-Eastern Rote-Meto,Eastern-East-Central Rote-Meto,Eastern Rote-Meto,Uab Metoic,Northeast Meto,Baikeno",uist1237,Uis Tasae,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Central-Eastern Rote-Meto,Eastern-East-Central Rote-Meto,Eastern Rote-Meto,Uab Metoic,Northeast Meto",uabm1237,Uab Meto,aoz,language,Papunesia,-9.77284,124.144
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Central-Eastern Rote-Meto,Eastern-East-Central Rote-Meto,Eastern Rote-Meto,Uab Metoic,Northeast Meto,Uab Meto",aman1264,Amanuban-Amanatun,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Central-Eastern Rote-Meto,Eastern-East-Central Rote-Meto,Eastern Rote-Meto,Uab Metoic,Northeast Meto,Uab Meto",amfo1237,Amfoan-Fatule'u-Amabi,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Central-Eastern Rote-Meto,Eastern-East-Central Rote-Meto,Eastern Rote-Meto,Uab Metoic,Northeast Meto,Uab Meto",bibo1238,Biboki-Insana,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Central-Eastern Rote-Meto,Eastern-East-Central Rote-Meto,Eastern Rote-Meto,Uab Metoic,Northeast Meto,Uab Meto",kusa1252,Kusa-Manlea,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Central-Eastern Rote-Meto,Eastern-East-Central Rote-Meto,Eastern Rote-Meto,Uab Metoic,Northeast Meto,Uab Meto",moll1242,Mollo-Miomafo,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Central-Eastern Rote-Meto",term1237,Termanu,twu,language,Papunesia,-10.7326,123.169
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Central-Eastern Rote-Meto,Termanu",korb1237,Korbafo,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Central-Eastern Rote-Meto,Termanu",pada1259,Pa'da,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Central-Eastern Rote-Meto,Termanu",pada1260,Pa'da Kona,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Central-Eastern Rote-Meto,Termanu,Pada Kona",keka1234,Keka,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Central-Eastern Rote-Meto,Termanu,Pada Kona",tala1297,Talae,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Tii-Lole",lole1239,Lole,llg,language,Papunesia,-10.8069,123.085
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Tii-Lole,Lole",baaa1237,Ba'a,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Tii-Lole,Lole",nort2870,North Lole,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Tii-Lole,Lole",sout2899,South Lole,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,East Rote-Meto,Tii-Lole",tiii1241,Tii,txq,language,Papunesia,-10.8425,122.963
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,West Rote",dela1251,Dela-Oenale,row,language,Papunesia,-10.8469,122.852
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,West Rote,Dela-Oenale",dela1252,Dela,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,West Rote,Dela-Oenale",oena1237,Oenale,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,West Rote",deng1253,Dengka,dnk,language,Papunesia,-10.7866,122.946
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,West Rote,Dengka",east2474,Eastern Dengka,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,West Rote,Dengka",lela1245,Lelain,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,Western Timoric A,Rote-Meto,West Rote,Dengka",west2546,Western Dengka,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric B,Eastern Timoric B",idat1237,Idaté,idt,language,Papunesia,-8.76258,125.832
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric B,Eastern Timoric B",laka1255,Lakalei,lka,language,Papunesia,-8.86372,125.716
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric B,Western Timoric B,Kemak-Tukudede",kema1243,Kemak,kem,language,Papunesia,-9.00299,125.159
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric B,Western Timoric B,Kemak-Tukudede,Kemak",nogo1237,Nogo,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric B,Western Timoric B,Kemak-Tukudede,Kemak",nucl1540,Nuclear Kemak,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric B,Western Timoric B,Kemak-Tukudede",tuku1254,Tukudede,tkd,language,Papunesia,-8.6788,125.283
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric B,Western Timoric B,Kemak-Tukudede,Tukudede",keha1237,Keha,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric B,Western Timoric B,Kemak-Tukudede,Tukudede",nucl1539,Nuclear Tukudede,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric B,Western Timoric B",mamb1306,Mambae,mgm,language,Papunesia,-9.19552,125.475
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric B,Western Timoric B,Mambae",dama1271,Damata,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric B,Western Timoric B,Mambae",lole1240,Lolei,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric B,Western Timoric B,Mambae",mamb1307,Mambai (East Timor),NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric B,Western Timoric B,Mambae",manu1259,Manua,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric B,Western Timoric B",wela1235,Welaun,wlh,language,Papunesia,-9.097288,125.239513
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric B,Western Timoric B,Welaun",leoh1234,Leohito,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric B,Western Timoric B,Welaun",raiu1234,Raiulun,NA,dialect,Papunesia,NA,NA
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Greater S H W N G,Nabi-Irarutu",irar1238,Irarutu,irh,language,Papunesia,-2.94438,133.586
"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Greater S H W N G,Nabi-Irarutu",kuri1260,Nabi,nbn,language,Papunesia,-2.80683,134.098
