iso	lang	lat	area	language	glottocode
xii	20.72598	-28.42578	Africa	Xiri	xiri1242
xil			Eurasia	Illyrian	illy1234
xin	-89.82346	14.31028	North America	Xinca	xinc1247
xip	-68.83333	-8.74999	South America	Xipinawa	xipi1238
xir	-62.54131	2.69932	South America	Xiriana	xiri1243
xiy	-49.948	-4.133	South America	Xipaya	xipa1240
NOCODE_Rocorona	-63.9917	-12.683215	South America	Rocorona	roco1235
nzs	175.77257	-39.29225	Papua	New Zealand Sign Language	newz1236
nzu	15.2047	-2.65261	Africa	NA	NA
nzz	-3.02	14.49	Africa	Nanga	nang1261
nzy	15.6675	7.667445	Africa	Nzakambay	nzak1246
nzb	12.706345	-2.18115	Africa	Njebi	njeb1242
nza	10.70849	6.983995	Africa	Tigon Mbembe	tigo1236
NOCODE_Bapen			Africa	Bapen	bape1239
nzk	22.825365	4.795675	Africa	Nzakara	nzak1247
nzi	-2.811235	5.1785	Africa	Nzima	nzim1238
nzm	93.64627	25.3499	Eurasia	Zeme Naga	zeme1240
NOCODE_Solombala-English			Eurasia	Solombala English	solo1261
vgt	4.31312	50.8021	Eurasia	Vlaamse Gebarentaal	vlaa1235
vgr	68.6051	26.14035	Eurasia	Vaghri	vagh1246
NOCODE_Broken-Slavey			North America	Broken Slavey	brok1250
lpx	32.75337	4.6986	Africa	Lopit	lopi1242
lpo	101.302	25.226	Eurasia	Lipo	lipo1242
lpn			Eurasia	Long Phuri Naga	long1375
lpe	140.46393	-4.1059	Papua	Lepki	lepk1238
lpa	168.20204	-17.6042	Papua	Lelepa	lele1267
NOCODE_Guachipas			South America	Guachipas	guac1240
ztm	-96.33623	16.22016	North America	San Agustin Mixtepec Zapotec	sana1286
ztl	-96.1636	16.06761	North America	Lapaguia-Guivini Zapotec	lapa1249
ztn	-96.35115	17.04461	North America	Santa Catarina Albarradas Zapotec	sant1448
zte	-97.19119	16.8693	North America	Elotepec Zapotec	elot1235
ztg	-96.19267	15.97478	North America	Xanaguia Zapotec	xana1235
NOCODE_Oyster-Bay-Big-River-Little-Swanport	147.50061	-42.307378	Australia	Oyster Bay-Big River-Little Swanport	oyst1235
zty	-96.19804	17.28877	North America	Yatee Zapotec	yate1242
ztx	-96.82337	17.00245	North America	Zaachila Zapotec	zaac1239
ztu	-96.45715	16.88241	North America	Guila Zapotec	guil1236
ztt	-96.88757	17.09436	North America	Tejalapan Zapotec	teja1235
ztq	-96.15551	16.34158	North America	Quioquitani-Quieri Zapotec	quio1241
ztp	-96.69968	15.8442	North America	Loxicha Zapotec	loxi1235
zts	-96.63213	16.85291	North America	Tilquiapan Zapotec	tilq1235
NOCODE_Gudjal	144.6482584	-19.44157406	Australia	Gudjal	gudj1237
NOCODE_Millcayac	-67.569581	-31.79729	South America	Millcayac	mill1237
NOCODE_Cotoxo	-39.43634	-14.990954	South America	Cotoxo	coto1237
irx	133.51841	-3.53189	Papua	Kamberau	kamb1302
iry	120.64995	13.38103	Papua	Iraya	iray1237
irr	106.56415	15.71875	Eurasia	Ir	irrr1240
iru	79.95209	12.70645	Eurasia	Irula of the Nilgiri	irul1243
irh	133.58624	-2.94438	Papua	Irarutu	irar1238
iri	8.6525	9.85197	Africa	Irigwe	irig1241
irk	35.29393	-4.19948	Africa	Iraqw	iraq1241
NOCODE_Patagon			South America	Patagon	pata1255
irn	-57.98063	-12.71782	South America	Irantxe-Munku	iran1263
xve			Eurasia	Venetic	vene1257
ire	135.02456	-3.62803	Papua	Yerisiam	ires1239
wtw	120.90044	-2.59593	Papua	Wotu	wotu1240
cuu	101.89865	23.56897	Eurasia	Tai Ya	taiy1242
rgs	108.31809	11.30027	Eurasia	Southern Roglai	sout3010
wtf	145.65507	-5.82002	Papua	Dumpu	dump1243
wth				Wathawurrung	wath1238
wti	34.70415	10.647405	Africa	Berta	bert1248
wtk	143.00482	-4.58965	Papua	Watakataui	wata1251
wtm	76.947	27.736	Eurasia	Mewati	mewa1250
rgu	123.31084	-10.55153	Papua	Ringgou	ring1244
prd	58.624	32.994	Eurasia	Parsi-Dari	pars1252
NOCODE_Aruan	-50.123291	-0.608631	South America	Aruan	arua1264
anf	0.41962	7.60385	Africa	Animere	anim1239
ang			Eurasia	Old English (ca. 450-1100)	olde1238
gxx	-7.63427	6.50013	Africa	We Southern	weso1238
frc	-91.61325	29.68686	North America	Cajun French	caju1236
fra	2.0	48.0	Eurasia	French	stan1290
anb	-76.60558	-3.29664	South America	Andoa	ando1255
frd	131.51054	-7.28902	Papua	Fordata	ford1242
frk	9.98388	52.89596	Eurasia	NA	NA
anc	9.46146	9.32042	Africa	Ngas	ngas1240
fro			Eurasia	Old French (842-ca. 1400)	oldf1239
frs	7.73549	52.97134	Eurasia	German Northern Low Saxon	nort2628
frr	8.58489	54.64087	Eurasia	Northern Frisian	nort2626
frq	146.54121	-5.69079	Papua	Forak	fora1245
frp	6.48152	45.80513	Eurasia	Arpitan	fran1260
frt	166.93136	-15.44841	Papua	Kiai	fort1240
NOCODE_Jumano			North America	Jumano	juma1248
fry	5.86091	53.143	Eurasia	Western Frisian	west2354
pro			Eurasia	Old Provencal	oldp1253
rge	23.21639	38.63471	Eurasia	Romano-Greek	roma1240
ano	-72.08686	-0.53751	South America	Andoque	ando1256
anh	144.88584	-5.04271	Papua	Nend	nend1239
ani	46.29187	42.80785	Eurasia	Andi	andi1255
prk	99.375035	22.865825	Eurasia	South Wa	para1301
cum	-69.49999	2.83332	South America	Cumeral	cume1234
ant	134.83783	-27.11522	Australia	Antakarinya	anta1253
rgk	80.08455	29.22776	Eurasia	Rangkas	rang1266
prt	101.217815	19.038265	Eurasia	Prai	phai1238
prw	145.4177	-5.0112	Papua	Parawen	para1307
sjr	152.89174	-4.62059	Papua	Siar-Lak	siar1238
rgn	11.71892	44.234895	Eurasia	Romagnol	roma1328
prq	-74.91528	-10.97772	South America	Asheninka Perene	ashe1272
sjp	85.792	25.686	Eurasia	Surjapuri	surj1235
prp	74.438	20.625	Eurasia	Parsi	pars1251
tzs			North America	Tzotzil, San Andres Larrainzar	tzot1260
tzu			North America	Tzotzil, Huixtan	tzot1261
prs	67.359255	31.040545	Eurasia	Dari	dari1249
tzx	143.59259	-4.49162	Papua	Tabriak	tabr1243
prr	-43.60688	-20.73288	South America	Puri	puri1262
sjw	-96.76345	35.35397	North America	Shawnee	shaw1249
tza	39.12697	-6.82431	Africa	Tanzanian Sign Language	tanz1238
tzc			North America	Tzotzil, Chamula	tzot1262
tzb			North America	Tzeltal, Bachajon	tzel1255
tze			North America	Tzotzil, Chenalho	tzot1263
sjt	38.50607	67.24584	Eurasia	Ter Saami	ters1235
tzi	102.660664	31.590536	Eurasia	NA	NA
tzh	-92.27861	16.63841	North America	Tzeltal	tzel1254
tzj	-91.20122	14.63507	North America	Tz'utujil	tzut1248
tzm	-2.40872	32.741545	Africa	Central Moroccan Berber	cent2194
tzl			North America	Talossan	talo1253
tzo	-92.73881	16.63623	North America	Tzotzil	tzot1259
