id	glottocode
693	baha1256
694	baha1256
695	gree1278
696	leme1238
697	lakk1238
698	kamt1241
699	gree1278
700	gree1278
701	laha1250
702	nucl1643
703	nucl1643
704	cent2126
705	cent2126
707	tiru1241
708	bant1288
709	bisa1268
710	buhi1243
711	lowe1412
712	lund1271
713	yoga1237
714	aich1238
715	kams1241
716	makc1235
717	chad1240
718	aust1307
719	tenn1245
720	kava1241
721	mala1545
722	irig1242
723	atay1246
724	ling1262
726	bunu1267
728	whit1267
729	whit1267
730	dupa1235
731	bouy1240
732	sout2918
733	pang1291
734	laoo1244
735	chew1245
736	suii1243
737	sant1410
738	cham1330
739	hmon1336
740	mala1538
741	rade1240
742	atay1247
743	puyu1239
744	jara1266
745	nort2994
746	hmon1337
747	mien1242
748	toto1304
749	tsou1248
750	saek1240
751	biao1253
752	tomi1243
753	tuva1244
754	lakk1238
755	masb1238
756	youn1235
757	pahn1237
759	puyu1239
760	kulo1237
761	mula1253
762	shee1238
763	maor1246
764	lamp1241
765	buna1273
766	gela1264
767	yong1276
768	jion1236
769	makc1235
770	aich1238
771	shee1238
772	hlai1239
773	dzao1238
775	biao1256
776	biao1256
777	koia1260
778	tain1252
779	enga1252
780	bung1268
781	nucl1709
782	whit1266
783	wara1300
784	maon1241
786	kimm1245
787	sino1245
788	taga1270
789	nort2735
790	asil1242
791	whit1266
792	hlai1238
793	urak1238
794	ping1243
795	mina1272
796	sang1335
798	daka1243
799	amis1246
800	amis1246
801	nata1254
802	atay1247
803	bunu1267
804	bunu1267
805	bunu1267
806	paiw1248
807	paiw1248
808	paiw1248
809	puyu1239
810	puyu1239
811	puyu1239
812	ruka1240
813	ruka1240
814	ruka1240
815	ruka1240
816	ruka1240
817	sais1237
818	sais1237
819	atay1247
820	taro1264
821	taro1264
822	taro1264
823	taro1264
824	tsou1248
825	kana1286
826	saar1237
828	ainu1240
829	nucl1643
830	west2650
831	babu1240
832	basa1287
833	yong1275
834	yong1275
835	cent2009
836	yong1275
837	cent2009
838	yong1275
839	cent2009
840	cent2009
841	cent2009
842	yong1275
843	yong1275
844	cent2009
845	cent2009
846	yong1275
847	yong1275
848	yong1275
849	cent2009
850	yong1275
851	kelo1247
852	maib1239
853	luan1263
854	sahu1245
855	east2440
856	west2600
857	east2440
858	lawu1237
859	cent2087
860	kaga1256
862	saek1240
863	bata1290
864	ment1249
865	tido1248
866	redg1235
867	kaza1248
868	sala1264
869	tata1255
870	uigh1240
871	nort2690
872	west2402
873	kirg1245
875	baho1237
876	bung1269
877	bung1269
878	bung1269
879	bung1269
880	bung1269
881	bung1269
882	bung1269
883	koro1311
884	kuli1254
885	mori1269
886	mori1269
887	mori1269
888	mori1269
889	mori1269
890	mori1269
891	mori1269
892	mori1269
893	mori1269
894	mori1269
895	mori1268
896	mori1268
897	mori1268
898	mori1268
899	mori1268
900	mori1268
901	mori1268
902	mori1268
903	mori1268
904	moro1287
905	moro1287
906	moro1287
907	pado1242
908	talo1252
909	tola1247
910	tola1247
911	tola1247
912	tola1247
913	tola1247
914	toma1248
915	waru1266
916	waru1266
917	wawo1239
918	wawo1239
919	raha1237
920	wusa1235
921	phak1238
922	aito1238
923	mort1237
924	whit1267
