wals code	glottocode
dok	ngom1268
nbe	ngom1268
ngo	ngon1269
wan	ngur1261
nha	nhan1238
nia	nias1242
lua	niel1243
fni	nige1253
npi	nige1257
nah	niha1238
bly	nija1241
shi	nina1238
nin	ning1273
nsn	nise1244
nsg	nisg1240
nis	nisi1239
nif	niua1240
niu	niue1239
chu	niva1238
nke	nkem1242
nkn	nkon1245
nob	nobi1240
noc	noct1238
yta	noga1249
tlb	noga1249
nok	noga1249
nog	noga1249
nom	noma1263
nmp	None
nhu	None
tup	None
ayo	None
toy	None
tsm	None
rse	None
bfg	None
kfc	None
mkh	None
mxx	None
noo	noon1242
non	noon1243
nit	noot1239
kyq	noot1239
nuu	noot1239
cht	nopa1235
shp	nort1527
twn	nort1550
fno	nort2626
lge	nort2627
kji	nort2641
krd	nort2641
lur	nort2645
sno	nort2671
uzn	nort2690
kym	nort2690
kzh	nort2735
don	nort2735
ytu	nort2745
gbk	nort2775
nnn	nort2784
din	nort2815
ngu	nort2836
mrq	nort2845
trr	nort2920
kiw	nort2930
hno	nort2938
tut	nort2941
inu	nort2943
knw	nort2951
mne	nort2952
pno	nort2954
nhn	nort2957
tpn	nort2959
pmn	nort2966
mwn	nort2968
emb	nort2972
qta	nort2980
rgn	nort2994
arl	nort3139
asy	nort3139
abe	nort3139
anl	nort3139
nte	norw1255
nor	norw1259
nse	nsen1242
ncm	ntch1242
nto	ntom1248
nua	nuau1240
nub	nubi1253
arw	nucl1235
arm	nucl1235
arz	nucl1235
mum	nucl1240
oya	nucl1284
plg	nucl1291
ktu	nucl1297
tur	nucl1301
geo	nucl1302
knd	nucl1305
brm	nucl1310
lml	nucl1327
tmn	nucl1339
wlf	nucl1347
kga	nucl1379
sen	nucl1396
igb	nucl1417
msl	nucl1440
mom	nucl1452
yaw	nucl1454
mbo	nucl1458
mdr	nucl1460
kwt	nucl1593
mrs	nucl1594
kwb	nucl1595
mrd	nucl1622
snt	nucl1632
nim	nucl1633
sko	nucl1634
jpn	nucl1643
tsi	nucl1649
dab	nucl1683
blq	nucl1695
tan	nucl1696
mma	nucl1706
nue	nuer1246
gun	nugu1242
nuk	nuka1242
nkr	nuku1260
ano	nung1282
nun	nung1283
nug	nung1290
nup	nupe1254
hmu	nupo1240
nus	nusu1239
nkt	nyah1250
nyl	nyal1254
nly	nyam1271
nym	nyam1276
nbo	nyam1277
nyr	nyan1301
nng	nyan1304
rny	nyan1307
cic	nyan1308
nyg	nyan1313
rim	nyat1246
nya	nyaw1247
nyn	nyig1240
nyh	nyih1240
rru	nyor1246
nyu	nyul1247
nju	nyun1247
nza	nzak1247
obk	obok1239
obo	obol1243
oca	ocai1244
occ	occi1239
pro	occi1239
mxo	ocot1243
ogb	ogbi1239
obg	ogbr1243
oka	okan1243
oks	oksa1245
oku	okuu1243
olo	oloo1241
olu	olut1240
oma	omag1248
omh	omah1247
omi	omie1241
sel	onaa1245
ond	onei1249
ong	onge1236
onn	onon1246
ono	onoo1246
lga	onto1237
eud	opat1246
ore	orej1242
orm	ormu1247
orc	oroc1248
ork	orok1265
ldo	orok1266
bkn	orok1266
orl	orok1267
oro	orok1269
ory	orya1242
osa	osag1243
oss	osse1243
otr	otor1240
owi	owin1240
oi	oyyy1238
paa	paaa1242
pms	paam1238
atq	paci1278
pac	paco1243
pad	pado1242
pae	paez1247
pag	pagu1249
pte	pait1244
pai	paiw1248
pak	paka1251
ipk	paki1242
pal	pala1344
cpl	pala1351
plk	pali1279
plr	palo1243
pna	pamo1252
kpm	pamp1243
tsh	pana1305
pnx	pana1307
png	pang1287
pnn	pang1290
pan	panj1256
pny	pany1241
tpa	papa1238
pap	papi1253
iir	papu1250
puk	para1301
gua	para1311
prc	pare1272
par	pari1256
pod	park1239
pat	pate1247
ptp	patp1243
ptt	patt1248
plh	paul1238
pau	paum1247
paw	pawa1255
pwn	pawn1254
pec	pech1241
stn	pedi1238
pem	pemo1248
pen	peng1244
mxp	peno1244
ord	peri1253
per	pero1241
lam	peve1243
ppc	piap1246
pia	piar1243
itu	piem1238
pga	pila1245
pil	pile1238
pba	pima1248
pgl	ping1243
mxj	pino1237
pin	pint1250
pip	pipi1250
prh	pira1253
prt	pira1254
wdo	pitj1243
pit	pitj1243
ppi	pitt1247
psl	plai1235
cre	plai1258
mwp	plai1259
mal	plat1254
pla	play1240
nhp	poch1244
pkm	poco1241
pog	pogo1243
poh	pohn1238
pkt	poko1263
plb	pola1255
pol	poli1260
awk	pong1250
jak	popt1235
pcm	poqo1253
poc	poqo1257
lgp	port1277
por	port1283
psw	port1285
pot	pota1247
gdk	pott1240
pow	powh1243
pra	pras1239
pri	prin1242
gku	puel1244
pui	puin1248
fgu	pula1262
fma	pula1263
fus	pula1263
pul	pulu1242
yrr	pume1238
pum	pumi1242
ksi	puoc1238
puq	puqu1242
pur	pure1242
prk	puri1258
phl	pwon1235
kea	qanj1241
bng	qaqe1238
qaw	qawa1238
qia	qian1264
kem	qima1242
lsq	queb1245
que	quec1382
osm	quer1236
aci	quic1275
qui	quil1240
chq	quio1240
rad	rade1240
rji	raji1240
ral	ralt1242
ram	rama1270
rao	raoo1244
rap	rapa1244
knu	rapo1238
tor	rata1244
raw	rawa1265
rwa	rawa1267
pok	rawo1244
zqr	rayo1235
rej	reja1240
rmb	remb1249
ren	rend1243
rng	reng1252
rnn	renn1242
res	resi1247
ria	rian1263
rik	rikb1245
rit	rita1239
rsu	roma1326
rsm	roma1326
rsc	roma1326
rmc	roma1326
rom	roma1327
mol	roma1327
mrc	rong1264
rga	rong1268
ron	ronn1241
rtk	roto1249
rot	rotu1241
rov	rovi1238
ruk	ruka1240
rum	rumu1243
rnd	rund1242
run	rung1258
rsl	russ1255
rus	russ1263
rut	rutu1240
saa	saaa1240
luy	saam1283
sab	saba1265
saw	sabu1255
sae	saek1240
ape	safe1240
sao	saho1246
sah	sahu1245
sak	saka1289
mek	saki1248
slr	sala1264
sal	sali1253
slb	sali1295
sba	sali1298
syu	salt1242
sle	samb1305
nmd	samo1303
sam	samo1305
ars	sana1295
sdw	sand1273
ish	sang1316
san	sang1328
sgu	sang1333
sgr	sang1336
mjc	sanj1281
zsq	sanj1284
psj	sanj1285
hve	sanm1287
mxc	sanm1295
mxm	sanm1295
mxg	sanm1295
kwy	sans1272
stl	sant1410
zaq	sant1451
snm	sanu1240
taf	sapo1253
sap	sapu1248
biq	sara1326
srm	sara1340
src	sars1236
sav	savi1242
svs	savo1255
swi	sawa1247
tgp	sawi1256
say	sayu1241
gae	scot1245
muh	seba1251
chh	seba1251
sec	seco1241
sed	seda1262
tbx	seke1240
sru	sela1259
sly	sela1260
slp	sele1250
skp	selk1253
smj	sema1266
smd	sema1269
sml	seme1247
snc	sene1264
sgl	seng1278
ser	seri1257
srr	serr1255
sey	sese1246
ojs	seve1240
ksg	sgaw1245
shb	shab1252
klr	shah1254
shm	sham1280
sha	shan1277
shh	shar1245
shs	shas1239
sht	shat1244
shw	shaw1249
jib	sheh1240
skw	shek1243
moc	shek1244
she	sher1255
shd	sher1257
shl	shil1265
sna	shin1264
shk	ship1254
smp	shom1245
krg	shon1251
shn	shon1251
shr	shor1247
swr	shos1248
sho	shos1248
det	shua1254
jiv	shua1257
rsh	shug1248
shu	shus1248
sme	siam1242
sia	sian1257
sir	siar1238
yi	sich1238
sid	sida1246
err	siee1239
zaj	sier1250
sik	sika1262
skr	sika1263
skk	sikk1242
bla	siks1238
skl	siku1242
mxs	sila1250
sim	sime1241
sng	sina1266
tba	sina1271
sdh	sind1272
snh	sinh1246
rbg	sint1235
sin	sion1247
sio	sioo1240
qum	sipa1247
sry	sira1267
ysi	sire1246
srn	siri1273
sri	siri1274
sro	siro1249
siu	sius1254
mot	siwa1245
bsi	siwi1239
chs	siyi1240
sla	slav1253
slo	slov1268
svk	slov1269
sob	sobe1238
csc	soch1239
som	soma1255
sge	song1303
snn	soni1259
son	sons1242
so	sooo1256
soq	soqo1240
sor	sora1254
srb	sorb1249
scr	sout1528
scs	sout2674
aso	sout2694
aze	sout2697
azi	sout2697
gon	sout2711
yko	sout2750
kss	sout2778
ndi	sout2784
dga	sout2789
tow	sout2797
ses	sout2807
ndb	sout2808
bbf	sout2840
erk	sout2856
sea	sout2859
tns	sout2869
bjs	sout2918
slv	sout2959
tws	sout2961
sps	sout2965
tps	sout2976
pso	sout2982
mss	sout2985
mut	sout2986
cos	sout2986
qco	sout2991
nmb	sout2994
zpi	sout3005
apa	sout3123
arv	sout3123
lse	span1263
spo	spok1245
squ	squa1248
sra	sran1240
spc	stan1288
spa	stan1288
ctl	stan1289
fre	stan1290
eng	stan1293
gbl	stan1295
gha	stan1295
gma	stan1295
gth	stan1295
gti	stan1295
ger	stan1295
mly	stan1306
ams	stan1318
sti	stie1250
tod	stod1241
sto	ston1242
lum	stra1244
sch	stra1244
soo	stra1244
sgs	stra1244
sss	stra1244
sst	stra1244
ina	suab1238
sub	subi1246
sud	sude1239
sue	suen1241
sui	suii1243
suk	suki1245
sku	suku1259
skm	suku1261
sul	sulk1246
slg	sulu1241
sem	sumi1235
sum	sumo1243
sun	sund1252
ksn	suoy1242
sup	supy1237
cai	suri1267
trm	suri1267
sur	surs1246
sus	susu1250
sva	svan1243
swa	swah1253
cea	swam1239
swt	swat1243
svt	swed1236
swv	swed1254
swe	swed1254
gpz	swis1247
gbe	swis1247
gos	swis1247
gzu	swis1247
gtg	swis1247
alt	swis1247
tbw	taab1238
tbs	taba1259
tbr	taba1263
cmy	taba1266
tbl	tabl1243
tac	taca1256
bch	tach1249
tas	tach1250
tag	taga1270
bou	taga1278
tgb	tagb1258
tai	taha1241
tug	taha1241
tgh	taha1241
tah	tahi1242
tap	taia1239
dbd	tait1250
tzi	taiw1241
taj	taji1245
tts	take1255
tkl	take1257
tak	taki1248
tld	tala1285
tal	tali1258
jom	talo1250
taz	taly1247
tls	taly1247
mii	tama1331
tma	tama1331
tmg	tama1336
tsk	tama1365
tsp	tami1289
tml	tami1289
asm	tamn1235
tmp	tamp1252
tnj	tana1289
tnc	tana1290
ngt	tang1336
tga	tang1348
ret	tani1257
tsl	tanz1238
tpt	tapi1253
tao	tara1313
tar	tari1256
brf	tari1263
tok	taro1263
see	taro1264
jug	tase1235
lun	tase1235
ttb	tata1255
tmi	tata1255
tvo	tata1255
tat	tata1257
ctt	tata1258
tty	tatu1247
tll	taul1251
tsg	taus1251
tsr	taus1253
tau	tauy1241
taw	tawa1275
tay	tayo1238
tbo	tbol1240
bum	tean1237
tbu	tebu1238
cti	tedi1235
ras	tega1236
ori	tega1236
tht	tehi1237
teh	tehu1242
ifm	teke1274
tks	teke1280
tec	tekt1235
tlf	tele1256
tel	telu1262
tmr	temi1246
tem	temm1241
kuy	teng1267
ten	tenn1246
teo	teop1238
tpc	tepe1278
cte	tepe1279
ter	tera1251
bun	tere1278
trn	tere1279
trb	teri1250
rti	term1237
trt	tern1247
tes	teso1249
tet	tete1250
nht	tete1251
ttn	tetu1245
ttd	tetu1245
trg	tewa1260
tsj	tewa1260
tew	tewa1260
zte	texm1235
thd	thad1238
ths	thai1240
tha	thai1261
thk	thak1245
thn	than1259
thw	thao1240
thp	thay1248
thy	thay1249
tho	thom1243
thu	thul1246
dhw	thur1254
tmo	tibe1272
tis	tibe1272
tib	tibe1272
jad	tibe1272
spi	tibe1272
tdi	tibe1272
tdr	tibe1272
shg	tibe1272
rpa	tibe1272
tic	ticu1245
tid	tido1248
boz	tiey1235
tif	tifa1245
tgk	tiga1245
tbe	tigr1270
tgr	tigr1270
tig	tigr1271
tik	tika1246
til	till1254
tia	tima1241
tne	timn1235
cuc	timo1237
tmc	timu1245
tim	timu1262
tni	tina1246
tnd	tind1238
tin	tiri1258
try	tiru1241
tiv	tivv1240
tiw	tiwi1244
tep	tlac1235
mth	tlah1239
tli	tlin1245
toq	toab1237
toa	toar1246
tbt	toba1266
tob	toba1269
tlo	tobe1252
asu	toca1235
tda	toda1252
nev	toho1245
ood	toho1245
toj	tojo1241
tke	toke1240
tpi	tokp1240
tol	toll1241
tno	tond1251
toz	tong1318
tng	tong1325
ton	tonk1249
tnt	tont1239
trd	tora1261
dts	toro1252
bro	torr1261
trw	torw1241
mtp	toto1305
tir	trio1238
tru	trum1247
tsa	tsak1249
tst	tsat1238
tgl	tsha1245
tgo	tsog1243
tsn	tson1249
tso	tsou1248
tsw	tswa1253
tua	tuam1242
tbb	tuba1278
tub	tuba1279
tuc	tuca1252
tgn	tugu1245
tuk	tuka1247
tki	tuki1240
nyk	tukp1239
tul	tulu1258
tmk	tuma1260
tum	tuml1238
bmz	tumz1238
tnn	tune1241
tnk	tung1290
tun	tuni1252
atu	tuni1259
tpr	tupu1244
tui	turk1288
khl	turk1303
tkm	turk1304
tna	turk1308
tus	tusc1257
tou	tusi1238
tte	tute1247
tvt	tuts1235
cco	tutu1242
mgg	tuuu1240
nnm	tuva1244
tvl	tuva1244
tuv	tuvi1240
tuy	tuyu1244
twa	twan1247
gwo	tyap1238
tye	tyar1236
tze	tzel1253
tza	tzel1254
tzt	tzel1254
tzb	tzel1255
tzs	tzot1260
tzo	tzot1262
tzz	tzot1264
tse	uabm1237
uby	ubyk1235
udh	udih1248
udi	udii1243
udm	udmu1245
ugs	ugan1238
uyg	uigh1240
ukr	ukra1253
ulc	ulch1241
uli	ulit1238
uma	umaa1242
smt	umat1237
umb	umbu1257
kgl	umbu1258
ump	umpi1239
una	unaa1239
unm	unam1242
sou	uppe1395
uku	uppe1438
chl	uppe1439
gbc	uppe1455
url	urak1238
urn	urar1246
urt	urat1244
ura	urav1235
urd	urdu1245
urh	urho1239
uri	urim1252
atc	urip1239
usl	urub1243
urk	urub1250
urm	urum1249
uru	uruu1244
usa	usan1239
usr	usar1243
csf	usil1237
cmh	utes1238
ute	utes1238
put	utes1238
uzb	uzbe1247
vaf	vafs1240
vag	vagl1239
vai	vaii1241
wal	valm1241
dum	vani1248
vas	vasa1239
ved	vedd1240
ven	vend1245
bab	veng1238
vep	veps1250
vie	viet1252
vif	vili1238
vnm	vinm1237
vla	vlaa1235
rka	vlax1238
rlo	vlax1238
vot	voti1245
wwa	waam1244
orw	waat1238
bac	wadj1254
pun	wadj1254
wag	wage1238
wah	wahg1249
wgl	waig1243
ror	waim1251
bno	waim1255
wai	waiw1244
wat	waja1257
wkw	waka1274
wak	wakh1245
wll	wall1257
wlm	walm1241
wme	wamb1257
wam	wamb1258
wbn	wamb1259
kgi	wame1240
mtt	wamp1249
wrn	wand1263
mlg	wand1278
wgg	wang1290
ngi	wang1291
wbt	wanm1242
wna	wann1242
wnt	want1252
wao	waor1240
wps	wapi1253
wap	wapp1239
wry	wara1290
wwy	wara1300
brp	wara1302
wra	wara1303
wrd	ward1246
wrm	ware1253
wrs	wari1266
war	wari1268
wrl	warl1254
wlw	warl1256
wrp	waro1242
wrg	warr1255
wrb	warr1257
wrw	warr1258
wgu	waru1264
wru	waru1265
cku	wasc1239
was	wash1253
wsk	wask1241
wtm	wata1253
wth	wath1238
wur	waur1244
wyn	waya1269
way	waya1270
hay	wayu1241
goa	wayu1243
wed	weda1241
rwe	wels1246
wel	wels1247
wec	wels1247
wmn	weme1239
wob	weno1238
wer	weri1253
kln	wers1238
frw	west2354
gwe	west2356
prs	west2369
mah	west2392
brw	west2397
syg	west2402
msy	west2418
awe	west2441
wem	west2443
mdm	west2443
fbf	west2454
fli	west2454
ssa	west2465
tny	west2466
maw	west2500
fiw	west2519
tgw	west2538
mwb	west2555
bwc	west2560
wma	west2600
apw	west2615
kgt	west2618
inr	west2618
abw	west2630
aco	west2632
kwe	west2635
cso	west2644
cya	west2644
chw	west2650
owc	west2721
wic	wich1260
wch	wich1264
wmu	wikm1247
wn	wikn1245
win	wint1259
ptw	wint1259
kow	winy1241
wir	wira1265
wiy	wiyo1248
wog	woga1249
wwr	woiw1237
wly	wola1242
wol	wole1240
wlo	woli1241
wom	womo1238
wor	woro1255
wau	woun1238
wuc	wuch1236
uld	wuzl1236
wya	wyan1247
xas	xaas1235
xam	xamm1241
xar	xara1244
xav	xava1240
xer	xere1240
xho	xhos1239
txj	xico1235
bah	xiri1243
lal	xish1235
xok	xokl1240
xoo	xooo1239
jab	yabe1254
ygr	yaga1260
hua	yaga1260
ygn	yagn1238
yag	yagu1244
yak	yaka1269
aka	yaka1272
ykn	yaka1277
ykm	yako1252
ykt	yaku1245
ylr	yala1262
nag	yale1246
yah	yama1264
yba	yamb1251
ymd	yamd1240
ymi	yami1254
yam	yami1256
ybi	yamp1242
yan	yana1271
inn	yand1253
amu	yane1238
ynk	yank1247
ynm	yano1262
yns	yans1239
yny	yany1243
yao	yaoo1241
yap	yape1248
yqy	yaqa1246
yaq	yaqu1251
yar	yare1248
zya	yatz1235
ywr	yawu1244
yyg	yayg1236
yaz	yazg1240
tot	yecu1235
yei	yeii1239
ets	yekh1238
yel	yele1255
ylm	yelm1242
yem	yemb1246
yms	yems1235
yes	yess1239
yey	yeyi1239
ydd	yidd1255
yid	yidi1250
yil	yill1241
yim	yima1243
yin	yind1247
pir	yine1238
yng	ying1247
yir	yiry1245
wik	yoku1256
ywl	yoku1256
yok	yoku1256
kti	yong1280
yyo	yort1237
yor	yoru1245
mxy	yoso1239
pnu	youn1235
yct	yuca1254
yuc	yuch1247
ycn	yucu1253
cnt	yuec1235
yug	yugh1239
yki	yuki1243
ykp	yukp1241
big	yulu1243
yul	yulu1243
yrc	yura1255
yur	yuro1248
yrm	yuru1243
yrt	yuru1263
zag	zagh1240
zan	zand1248
zpr	zapa1253
zar	zarm1239
zay	zays1235
duz	zeeu1238
nze	zeme1240
zen	zena1248
zim	zima1244
zzo	zoog1238
zso	zulu1248
zno	zulu1248
zul	zulu1248
zun	zuni1245
aab	
tms	
kua	
lgh	
rcp	
jua	
keu	
joh	
