"iso";"discription";"lang";"longitude";"latitude";"macro_area";"country.x"
"dez";"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Greater Bangi-Ntomba, Kela-Ntomba, Tsingi-Tsingi, Vieux Mongo, Nkutsuic";"Dengese";21,41943;-3,26337;"Africa";"Democratic Republic of the Congo"
"dga";"Atlantic-Congo, Volta-Congo, North Volta-Congo, Gur, Central Gur, Northern Central Gur, Bwamu-Oti-Volta, Oti-Volta, Nuclear Oti-Volta, Gurma-Yom-Oti-Volta Occidental, Oti-Volta Occidental, Nuclear Oti-Volta Occidental, Northwest Oti-Volta, Safaliba-Dagaare, Dagaaric, Central-South Dagaric";"Central Dagaare";-2,52265;10,4226;"Africa";"Ghana"
"dgb";"Dogon, West Dogon";"Bunoge Dogon";-3,49;14,43;"Africa";"Mali"
"dgc";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Northern Luzon, Northeastern Luzon, Nuclear Northeastern Luzon";"Casiguran-Nagtipunan Agta";121,87821;16,2176;"Papua";"Philippines"
"dgd";"Atlantic-Congo, Volta-Congo, North Volta-Congo, Gur, Central Gur, Northern Central Gur, Bwamu-Oti-Volta, Oti-Volta, Nuclear Oti-Volta, Gurma-Yom-Oti-Volta Occidental, Oti-Volta Occidental, Nuclear Oti-Volta Occidental, Northwest Oti-Volta, Safaliba-Dagaare, Dagaaric, Central-South Dagaric, South Dagaric";"Dagaari Dioula";-2,48569;11,68387;"Africa";"Burkina Faso"
"dge";"Nuclear_Trans_New_Guinea, Finisterre-Huon, Finisterre-Saruwaged, Warup";"Degenan";146,57176;-5,70892;"Papua";"Papua New Guinea"
"dgg";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D'Entrecasteaux linkage, Are-Taupota linkage, Are linkage";"Doga";149,84148;-9,63698;"Papua";"Papua New Guinea"
"dgh";"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Margi-Mandara-Mofu, Mandaraic, Dghwedeic";"Dghwede";13,77847;11,05751;"Africa";"Nigeria"
"dgi";"Atlantic-Congo, Volta-Congo, North Volta-Congo, Gur, Central Gur, Northern Central Gur, Bwamu-Oti-Volta, Oti-Volta, Nuclear Oti-Volta, Gurma-Yom-Oti-Volta Occidental, Oti-Volta Occidental, Nuclear Oti-Volta Occidental, Northwest Oti-Volta, Safaliba-Dagaare, Dagaaric, North-West Dagaric";"Northern Dagara";-3,0124;11,04408;"Africa";"Burkina Faso"
"dgk";"Central_Sudanic, Sara-Bongo-Bagirmi, SBB Occidental, Nuclear SBB Occidental, Saraic, Sara Central, Sara Central Logone-Chari, Sido";"Dagba";18,48467;8,84278;"Africa";"Central African Republic"
"dgn";"Yangmanic";"Dagoman";132,379;-15,764;"Australia";"Australia"
"dgo";"Indo-European, Indo-Iranian, Indo-Aryan, Indo-Aryan Northern zone, Himachali, Kangric-Chamealic-Bhattiyali, Kangri-Dogri";"Dogri";75,71109;32,55342;"Eurasia";"India"
"dgr";"Athapaskan-Eyak-Tlingit, Athapaskan-Eyak, Athapaskan, Northern Athapaskan, Hare-Slavey";"Dogrib";-114,19257;62,38234;"North America";"Canada"
"dgs";"Atlantic-Congo, Volta-Congo, North Volta-Congo, Gur, Central Gur, Southern Central Gur, Dogoso-Khe";"Dogoso";-4,35805;10,04888;"Africa";"Ivory Coast"
"dgu";"Spurious, Indo-European, Indo-Iranian, Indo-Aryan, Indo-Aryan Eastern zone";"Degaru";86,76939;25,04606;"Eurasia";"India"
"dgx";"Nuclear_Trans_New_Guinea, Greater Binanderean, Binanderean, Nuclear Binanderean, South Binanderean, Coastal Binanderean, Baruga-Doghoro";"Doghoro";148,76599;-9,13688;"Papua";"Papua New Guinea"
"dgz";"Dagan";"Daga";149,26296;-9,9747;"Papua";"Papua New Guinea"
"dha";"Spurious, Indo-European, Indo-Iranian, Indo-Aryan, Indo-Aryan Central zone, Subcontinental Central Indo-Aryan, Eastern Hindi";"Dhanwar (India)";83,16442;23,06127;"Eurasia";"India "
"dhd";"Indo-European, Indo-Iranian, Indo-Aryan, Indo-Aryan Central zone, Subcontinental Central Indo-Aryan, Gujarati-Rajasthani, Rajasthani";"Dhundari";76,198;26,473;"Eurasia";"India "
"dhg";"Pama-Nyungan, Yuulngu, Southern Yolngu, Southern-Eastern Yolngu";"Dhangu";135,75214;-11,94927;"Australia";"Australia "
"dhi";"Sino-Tibetan, Dhimalish";"Dhimal";88,379815;26,62827;"Eurasia";"Nepal India "
"dhl";"Pama-Nyungan, South-West Pama-Nyungan, Pilbara, Kanyara, Thalanyji-Burduna";"Dhalandji";114,93718;-22,19598;"Australia";"Australia "
"dhm";"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Njila, Southern Njila, Kunene, Cimbebasia, Herero (R.30)";"Zemba";13,44244;-17,295835;"Africa";"Namibia Angola "
"dhn";"Indo-European, Indo-Iranian, Indo-Aryan, Indo-Aryan Central zone, Subcontinental Central Indo-Aryan, Khandesic";"Dhanki";73,74179;20,77195;"Eurasia";"India "
"dho";"Indo-European, Indo-Iranian, Indo-Aryan, Indo-Aryan Central zone, Subcontinental Central Indo-Aryan, Bhil";"Dhodia";73,27433;21,06564;"Eurasia";"India "
"dhr";"Pama-Nyungan, South-West Pama-Nyungan, Pilbara, Mantharta, Wariyangga-Dhargari";"Dhargari";114,84667;-24,06008;"Australia";"Australia "
"dhs";"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, East Bantu, Northeast Savanna Bantu, Central Kenya Bantu, Eastern Central Kenya Bantu";"Dhaiso";38,81801;-4,81209;"Africa";"Tanzania "
"dhu";"Pama-Nyungan, Southeastern Pama-Nyungan, New South Wales Pama-Nyungan, Yuin-Kuri, Yuin, Northern Costal Yuin";"Dhurga";150,13383;-35,41204;"Australia";"Australia "
"dhv";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Loyalty Islands";"Dehu";167,22924;-20,88918;"Papua";"New Caledonia "
"dhw";"Indo-European, Indo-Iranian, Indo-Aryan, Bihari, Unclassified Bihari, Kuswaric";"Dhanwar (Nepal)";85,0074;27,54803;"Eurasia";"Nepal "
"dia";"Nuclear_Torricelli, Galu-Alu";"Alu-Sinagen";142,24844;-3,38837;"Papua";"Papua New Guinea"
"dib";"Nilotic, Western Nilotic, Dinka-Nuer, Dinka";"South Central Dinka";30,30213;6,7307;"Africa";"Sudan"
"dic";"Atlantic-Congo, Volta-Congo, Kru, Eastern Kru, Neyo-Dida, Dida";"Lakota Dida";-5,40633;5,86012;"Africa";"Ivory Coast"
"did";"Surmic, South Surmic, Southwest Surmic, Didinga-Murle, Didinga-Longarim";"Didinga";33,68688;4,21489;"Africa";"Sudan"
"dif";"Pama-Nyungan, Karnic, Central Karnic, Western Central Karnic, Pirlatapa-Dieric, Dieric";"Dieri";137,99999;-28,16666;"Australia";"Australia"
"dig";"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, East Bantu, Northeast Savanna Bantu, Northeast Coastal Bantu, Coastal NEC Bantu, Mijikenda-Pokomo-Comorian, Mijikenda, Southern Mijikenda";"Digo";39,1752;-4,62101;"Africa";"Kenya"
"dih";"Cochimi-Yuman, Yuman, General Yuman, Delta-Californian Yuman";"Kumiai";-116,609415;32,5153;"North America";"United States"
"dii";"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Bafia (A.50), Nuclear Bafia (A.50)";"Dimbong";10,9888;4,80551;"Africa";"Cameroon"
"dij";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Central Malayo-Polynesian, Babar, North Babaric";"Dai";129,68668;-7,55894;"Papua";"Indonesia (Papua)"
"dik";"Nilotic, Western Nilotic, Dinka-Nuer, Dinka";"Southwestern Dinka";28,06131;8,81115;"Africa";"Sudan"
"dil";"Nubian, West-Central Nubian, Central Nubian, Kordofan Nubian, Western Kordofan Nubian";"Dilling";29,60565;12,03469;"Africa";"Sudan"
"dim";"South_Omotic";"Dime";36,33293;6,20951;"Africa";"Ethiopia"
"dio";"Atlantic-Congo, Volta-Congo, Benue-Congo, Nupoid, Nupe-Gbagyi, Nupe-Asu, Nupe-Kupa, Nupe-Dibo";"Dibo";6,3731;9,0611;"Africa";"Nigeria"
"dip";"Nilotic, Western Nilotic, Dinka-Nuer, Dinka";"Northeastern Dinka";31,83923;9,27995;"Africa";"Sudan"
"diq";"Indo-European, Indo-Iranian, Iranian, Western Iranian, Northwestern Iranian, Zaza-Gorani, Zaza";"Dimli";39,63882;38,61469;"Eurasia";"Turkey"
"dir";"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Northern Bantoid, Dakoid, Taram-Dirim-Nnakenyare, Dirim-Nnakenyare";"Dirim";11,63209;7,83766;"Africa";"Nigeria"
"dis";"Sino-Tibetan, Brahmaputran, Bodo-Garo, Boroic, Nuclear Bodo";"Dimasa";93,18061;25,41984;"Eurasia";"India"
"dit";"Pama-Nyungan, Karnic, Central Karnic, Western Central Karnic, Pirlatapa-Dieric, Dieric";"Dirari";138,07782;-28,79923;"Australia";"Australia"
"diu";"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Njila, Southern Njila, Kunene, Kwangali-Diriku";"Diriku";20,66778;-18,16808;"Africa";"Namibia"
"div";"Indo-European, Indo-Iranian, Indo-Aryan, Dhivehi-Sinhala";"Dhivehi";73,07456;3,82586;"Eurasia";"Maldives"
"diw";"Nilotic, Western Nilotic, Dinka-Nuer, Dinka";"Northwestern Dinka";29,29981;9,81484;"Africa";"Sudan"
"dix";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, North and Central Vanuatu, Central Vanuatu, Malakula, Small Nambas";"Dixon Reef";167,51592;-16,32665;"Papua";"Vanuatu"
"diy";"Nuclear_Trans_New_Guinea, Asmat-Awyu-Ok, Asmat-Kamoro, Asmat, Citak Asmat";"Diuwe";139,45512;-5,12627;"Papua";"Indonesia (Papua)"
"diz";"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Yanzi (B.80), Kwilu-Umlaut";"Ding";19,38809;-4,44304;"Africa";"Democratic Republic of the Congo"
"djb";"Pama-Nyungan, Yuulngu, Western-Inland Yolngu";"Djinba";134,96743;-12,93004;"Australia";"Australia"
"djc";"Daju, Western Daju";"Dar Daju Daju";18,79962;12,11866;"Africa";"Chad"
"djd";"Mirndi, Djamindjungan";"Djamindjung";130,0598;-15,05583;"Australia";"Australia"
"dje";"Songhay, Eastern Songhay, Zarma-Kaado-Dendi";"Zarma-Kaado";2,4117266667;12,8553766667;"Africa";"Nigeria"
"djf";"Pama-Nyungan, Yimidhirr-Yalanji-Yidinic, Yalandyic";"Djangun";144,93245;-16,91051;"Australia";"Australia"
"dji";"Pama-Nyungan, Yuulngu, Western-Inland Yolngu";"Djinang";134,82031;-12,46201;"Australia";"Australia"
"djj";"Maningrida";"Djeebbana";134,09666;-12,01331;"Australia";"Australia"
"djk";"Indo-European, Germanic, Northwest Germanic, West Germanic, North Sea Germanic, Anglo-Frisian, Anglian, Mercian, Macro-English, Guinea Coast Creole English, Surinamese Creole English, Srananic, Ndyuka";"Aukan";-54,641915;4,3126;"South America";"French Guiana"
"djl";"Pama-Nyungan, South-West Pama-Nyungan, Pilbara, Mantharta, Djiwarli-Thiin";"Djiwarli";116,98858;-24,10724;"Australia";"Australia"
"djm";"Dogon, Plains Dogon";"Jamsay Dogon";-2,579995;14,1794;"Africa";"Burkina Faso"
"djn";"Gunwinyguan, Western Gunwinyguan";"Jawoyn";133,00152;-14,13608;"Australia";"Australia"
"djo";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Land Dayak, Southern Land Dayak";"Jangkang";110,64722;0,29738;"Papua";"Indonesia (Papua)"
"djr";"Pama-Nyungan, Yuulngu, Southern Yolngu, Southern-Eastern Yolngu, Dhuwal-Dhuwala, Eastern Dhuwal-Dhuwala";"Djambarrpuyngu";135,59014;-12,02098;"Australia";"Australia"
"dju";"Sepik, Sepik Hill, Central Sepik Hill, Nuclear Central Sepik Hill, Kapriman-Watakataui";"Kapriman";143,24107;-4,51011;"Papua";"Papua New Guinea"
"djw";"Nyulnyulan, Western, Bardic";"Djawi";123,1856;-16,41625;"Australia";"Australia"
"dka";"Sino-Tibetan, Bodic, Bodish, Tshangla-East Bodish, East Bodish, Mainstream East Bodish, Dakpa-Dzala";"Dakpakha";91,82455;27,37615;"Eurasia";"Bhutan"
"dkk";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, South Sulawesi, Northern South Sulawesi, Pitu Ulunna Salu";"Dakka";119,23484;-3,33671;"Papua";"Indonesia (Papua)"
"dkl";"Spurious, Retired";"Kolum So Dogon";-3,8795;14,36174;"Africa";"Mali"
"dkr";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, North Borneo Malayo-Polynesian, Southwest Sabahan, Greater Dusunic, Dusunic";"Kuijau";116,10842;5,47179;"Papua";"Malaysia (Peninsular)"
"dks";"Nilotic, Western Nilotic, Dinka-Nuer, Dinka";"Southeastern Dinka";31,28501;7,02206;"Africa";"Canada"
"dkx";"Afro-Asiatic, Chadic, Biu-Mandara, South Biu-Mandara, Dabaic";"Mazagway";13,68728;10,17501;"Africa";"Cameroon"
"dlg";"Turkic, Common Turkic, North Siberian Turkic";"Dolgan";94,29358;71,10828;"Eurasia";"Russia"
"dlk";"Afro-Asiatic, Semitic, West Semitic, Ethiosemitic, Tigre-Tigrinya, Tigre-Dahalik";"Dahalik";40,081897;15,732898;"Africa";"Eritrea"
"dlm";"Indo-European, Italic, Latino-Faliscan, Latinic, Imperial Latin, Romance, Italo-Western Romance, Italo-Dalmatian, Dalmatian Romance";"Dalmatian";18,02377;42,70949;"Eurasia";"Croatia"
"dln";"Sino-Tibetan, Kuki-Chin-Naga, Kuki-Chin, Central Kuki-Chin";"Darlong";91,333905;23,991965;"Eurasia";"India"
"dma";"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Njebe-Mbete-Teke, Sigu-Njebi, Njebi (B.50), Ndjavi B";"Duma";13,00456;-0,91927;"Africa";"Gabon"
"dmb";"Dogon, West Dogon";"Mombo Dogon";-3,664799;14,376155;"Africa";"Mali"
"dmc";"Nuclear_Trans_New_Guinea, Madang, Croisilles, Dimir-Malas";"Dimir";145,67561;-4,8296;"Papua";"Papua New Guinea"
"dme";"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Margi-Mandara-Mofu, Mofuic, Meri";"Dugwor";14,21344;10,75203;"Africa";"Cameroon"
"dmg";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, North Borneo Malayo-Polynesian, Southwest Sabahan, Greater Dusunic, Paitanic, Upper Kinabatangan-Lobu";"Upper Kinabatangan";116,90097;5,31911;"Papua";"Malaysia (Peninsular)"
"dmk";"Indo-European, Indo-Iranian, Indo-Aryan, Indo-Aryan Central zone";"Domaaki";74,7984;36,3258;"Eurasia";"Pakistan"
"dml";"Indo-European, Indo-Iranian, Indo-Aryan, Indo-Aryan Northwestern zone, Kunar";"Dameli";71,68065;35,29901;"Eurasia";"Pakistan"
"dmm";"Atlantic-Congo, Volta-Congo, North Volta-Congo, Adamawa-Ubangi, Adamawa, Mbum-Day, Mbumic, Northern Mbum, Dama-Galke";"Dama (Cameroon)";14,0597;8,72207;"Africa";"Cameroon"
"dmo";"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Beboid, Eastern Beboid, Bebe-Kemezung, Naki-Kemezung";"Kemezung";10,49838;6,69577;"Africa";"Cameroon"
"dmr";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Central Malayo-Polynesian, Timoric A, Northern Timoric A";"East Damar";128,6357;-7,16991;"Papua";"Indonesia (Papua)"
"dms";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Celebic, Tomini-Tolitoli, Tominic, Southern Tomini";"Dampelas";120,21879;0,70234;"Papua";"Indonesia (Papua)"
"dmu";"Pauwasi, Western Pauwasi";"Dubu";140,76837;-3,62591;"Papua";"Indonesia (Papua)"
"dmv";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, North Borneo Malayo-Polynesian, Southwest Sabahan, Greater Dusunic, Dusunic, Rungus-Mangkaak-Labuk, Dumpas-Sukang";"Dumpas";117,419;5,93483;"Papua";"Malaysia (Peninsular)"
"dmx";"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, East Bantu, Shona (S.10), Unclassified Shona (S. 10)";"Dema";32,77308;-15,68941;"Africa";"Mozambique"
"dmy";"Sentanic";"Demta";140,16567;-2,38475;"Papua";"Indonesia (Papua)"
"dna";"Nuclear_Trans_New_Guinea, Dani, Central Dani, Grand Valley Dani";"Upper Grand Valley Dani";138,90083;-3,94368;"Papua";"Indonesia (Papua) "
"dnd";"Border, Warisic";"Daonda";141,2198;-3,31443;"Papua";"Papua New Guinea "
"dne";"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, East Bantu, Rufiji-Ruvuma, Rufijic, Unclassified Rufijic";"Ndendeule";36,01053;-10,42032;"Africa";"Tanzania "
"dng";"Sino-Tibetan, Sinitic, Northern Chinese";"Dungan";76,838225;42,729205;"Eurasia";"Uzbekistan Kyrgyzstan Turkmenistan Kazakhstan Russia Tajikistan "
"dni";"Nuclear_Trans_New_Guinea, Dani, Central Dani, Grand Valley Dani";"Lower Grand Valley Dani";138,99248;-4,25684;"Papua";"Indonesia (Papua) "
"dnk";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Central Malayo-Polynesian, Timoric A, Western Timoric A, Rotinese";"Dengka";122,94583;-10,78657;"Papua";"Indonesia (Papua) "
"dnn";"Mande, Western Mande, Northwestern Mande, Duun-Bobo, Duun-Jo, Duun-Seenku, Duun";"Dzuungoo";-4,92036;11,37957;"Africa";"Burkina Faso "
"dnr";"Nuclear_Trans_New_Guinea, Madang, Rai Coast, Peka";"Danaru";145,45672;-5,53634;"Papua";"Papua New Guinea "
"dnt";"Nuclear_Trans_New_Guinea, Dani, Central Dani, Grand Valley Dani";"Mid Grand Valley Dani";138,94483;-4,06322;"Papua";"Indonesia (Papua) "
"dnu";"Austroasiatic, Khasi-Palaung, Palaungic";"Danau";96,99805;20,4957;"Eurasia";"Myanmar "
"dnw";"Nuclear_Trans_New_Guinea, Dani, Central Dani, Pyramid-Swart Valley";"Western Dani";138,21693;-3,77127;"Papua";"Indonesia (Papua) "
"dny";"Arawan, Madi-Madiha, Madiha";"Deni";-67,50286;-6,74962;"South America";"Brazil "
"doa";"Nuclear_Trans_New_Guinea, Chimbu-Wahgi, Simbu, Nuclear Simbu, Kuman-Dom-Gunaa";"Dom";144,89497;-6,03737;"Papua";"Papua New Guinea"
"dob";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D'Entrecasteaux linkage, Dobu-Duau linkage";"Dobu";150,82504;-9,63239;"Papua";"Papua New Guinea"
"doc";"Tai-Kadai, Kam-Tai, Kam-Sui, Mulam-Kam, Kamic, Northern Kam";"Northern Dong";109,20384;26,99443;"Eurasia";"Viet Nam"
"doe";"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, East Bantu, Northeast Savanna Bantu, Northeast Coastal Bantu, Ruvu, East Ruvu";"Doe";38,49022;-6,25844;"Africa";"Tanzania"
"dof";"Mailuan";"Domu";148,45002;-10,15101;"Papua";"Papua New Guinea"
"doh";"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Northern Bantoid, Dakoid, Tiba-Dong";"Dong";11,99245;8,64119;"Africa";"Nigeria"
"dok";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Celebic, Tomini-Tolitoli, Tominic, Northern Tomini";"Dondo";120,70738;0,80348;"Papua";"Indonesia (Papua)"
"dol";"Doso-Turumsa";"Doso";142,65608;-7,85806;"Papua";"Papua New Guinea"
"don";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Peripheral Papuan Tip linkage, Central Papuan Oceanic, West Central Papuan linkage, Nuclear West Central Papuan linkage";"Toura (Papua New Guinea)";146,98836;-9,10008;"Papua";"Papua New Guinea"
"doo";"Atlantic-Congo, Volta-Congo, North Volta-Congo, Adamawa-Ubangi, Ubangi, Sere-Ngbaka-Mba, Ngbaka-Mba, Mbaic, Ndunga-Mba-Dongo";"Dongo";29,96193;2,96683;"Africa";"Democratic Republic of the Congo"
"dop";"Atlantic-Congo, Volta-Congo, North Volta-Congo, Gur, Central Gur, Southern Central Gur, Grusi, East-West Grusi, Eastern Grusi, Kabiyeic";"Lukpa";1,669535;9,519485;"Africa";"Togo"
"doq";"Sign Language, Deaf Sign Language, ASLic";"Dominican Sign Language";-71,17218;18,87983;"North America";"Dominican Republic"
"dor";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Southeast Solomonic, Longgu-Malaita-Makira, Malaita-Makira, Malaita, Southern Malaita";"Dori'o";160,89663;-9,11536;"Papua";"Solomon Islands"
"dos";"Atlantic-Congo, Volta-Congo, North Volta-Congo, Gur, Central Gur, Southern Central Gur, Kaansa-Dogose, Dogose-Khisa";"Dogose";-4,1493;10,18993;"Africa";"Burkina Faso"
"dot";"Afro-Asiatic, Chadic, West Chadic, West Chadic B, West Chadic B.3, South Bauchi West, Southwest South Bauchi";"Dass";9,51838;9,9325;"Africa";"Nigeria"
"dov";"Spurious";"Dombe";26,502;-18,37;"Africa";"Zimbabwe"
"dow";"Atlantic-Congo, Volta-Congo, North Volta-Congo, Adamawa-Ubangi, Adamawa, Samba Duru-Mumuye Yendang, Samba Duru, Voko-Dowayo, Vere-Dowayo";"Doyayo";13,07676;8,68604;"Africa";"Cameroon"
"dox";"Afro-Asiatic, Cushitic, East Cushitic, Lowland East Cushitic, Southern Lowland East Cushitic, Transversal Lowland East Cushitic, Dullay";"Bussa";37,20169;5,74987;"Africa";"Ethiopia"
"doy";"Atlantic-Congo, Volta-Congo, Kwa Volta-Congo, Nyo, Potou-Tano, Tano, Guang, North Guang, Gonja-Dompo";"Dompo";-2,295;8,182;"Africa";"Ghana"
"doz";"Ta-Ne-Omotic, Ometo, North-West Ometo, Central Ometo";"Dorze";37,55537;6,25237;"Africa";"Ethiopia"
"dpp";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, North Borneo Malayo-Polynesian, Southwest Sabahan, Greater Murutic";"Papar";115,58015;5,57378;"Papua";"Malaysia (Peninsular)"
"drb";"Nubian, West-Central Nubian, Central Nubian, Kordofan Nubian, Eastern Kordofan Nubian";"Dair";30,67816;12,47398;"Africa";"Sudan "
"drc";"Indo-European, Italic, Latino-Faliscan, Latinic, Imperial Latin, Romance, Italo-Western Romance, Western Romance, Shifted Western Romance, Southwestern Shifted Romance, West Ibero-Romance, Galician Romance";"Minderico";-8,6886615;39,5143738;"Eurasia";"Portugal"
"drd";"Sino-Tibetan, Bodic, Tibeto-Kanauri, Eastern Tibeto-Kanauri, Pithauragarh, Darma-Byangsi-Chaudangsi, Darma-Byangsi";"Darma";80,543865;29,86292;"Eurasia";"Nepal"
"dre";"Sino-Tibetan, Bodic, Bodish, Old-Modern Tibetan, Tibetic, South-Western Tibetic, Dolpo-Tichurong";"Dolpo";83,29267;29,19568;"Eurasia";"Nepal"
"drg";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, North Borneo Malayo-Polynesian, Southwest Sabahan, Greater Dusunic, Dusunic, Rungus-Mangkaak-Labuk";"Rungus";116,74264;6,83989;"Papua";"Malaysia (Peninsular) "
"drh";"Mongolic, Eastern Mongolic, Oirat-Khalkha, Oirat-Kalmyk-Darkhat";"Darkhat";99,44493;50,62298;"Eurasia";"Mongolia"
"dri";"Atlantic-Congo, Volta-Congo, Benue-Congo, Kainji, Central Kainji, Northwestern Kainji, Clela-Damakawa";"C'lela";5,26544;11,46534;"Africa";"Nigeria"
"drl";"Pama-Nyungan, Yarli-Baagandji";"Paakantyi";142,69519;-32,70212;"Australia";"Australia "
"drn";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Central Malayo-Polynesian, Babar";"West Damar";128,58527;-7,12065;"Papua";"Indonesia (Papua)"
"dro";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, North Borneo Malayo-Polynesian, Sarawak-Melanau-Kajang, Melanau-Kajang, Melanau";"Daro-Matu Melanau";111,53563;2,54435;"Papua";"Malaysia (Peninsular)"
"drq";"Sino-Tibetan, Himalayish";"Dura";84,435;28,173;"Eurasia";"Nepal"
"drr";"Spurious, Retired";"Dororo";157,76722;-8,30556;"Papua";"Solomon Islands"
"drs";"Afro-Asiatic, Cushitic, East Cushitic, Highland East Cushitic, Sidaama-Hadiyya-Kambaata, Sidaama-Gedeo";"Gedeo";38,2395;6,18469;"Africa";"Ethiopia"
"drt";"Indo-European, Germanic, Northwest Germanic, West Germanic, North Sea Germanic, Altsachsisch, Middle-Modern Low German, Low German";"Drents";6,51539;52,9024;"Eurasia";"Netherlands "
"dru";"Austronesian";"Rukai";120,84424;22,77381;"Papua";"Taiwan"
"drw";"Indo-European, Indo-Iranian, Iranian, Western Iranian, Southwestern Iranian, Farsic-Caucasian Tat, Farsic, Eastern Farsic";"Darwazi";70,76427;38,31608;"Eurasia";"Afghanistan"
"dry";"Indo-European, Indo-Iranian, Indo-Aryan, Bihari, Unclassified Bihari, Kuswaric";"Darai";84,13573;27,8623;"Eurasia";"Nepal"
"dsb";"Indo-European, Balto-Slavic, Slavic, West Slavic, Sorbian";"Lower Sorbian";13,9407;51,66213;"Eurasia";"United States Germany "
"dse";"Sign Language, Deaf Sign Language, LSFic, Dutch-Flemish Sign";"Dutch Sign Language";4,91133;52,12512;"Eurasia";"Netherlands"
"dsh";"Afro-Asiatic, Cushitic, East Cushitic, Lowland East Cushitic, Southern Lowland East Cushitic, Mainstream Lowland East Cushitic, Omo-Tana, Western Omo-Tana";"Daasanach";35,98884;4,588785;"Africa";"Ethiopia Kenya "
"dsi";"Central_Sudanic, Sara-Bongo-Bagirmi, SBB Occidental, Nuclear SBB Occidental, Saraic, Bagirmic, Unclassified Bagirmic";"Disa";19,21559;10,32184;"Africa";"Chad"
"dsl";"Sign Language, Deaf Sign Language, LSFic, Danish Sign";"Danish Sign Language";12,31866;55,82574;"Eurasia";"Denmark"
"dsn";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Greater SHWNG, South Halmahera-West New Guinea, Cenderawasih Bay, Biakic";"Dusner";134,39057;-2,73859;"Papua";"Indonesia (Papua) "
