;iso;languoid;affiliation;latitude;longitude;macro_area;country
2934;csl;Chinese Sign Language;Sign Language, Deaf Sign Language, CSLic, Nuclear CSLic;30.90631;121.56875;Eurasia;Malaysia (Peninsular), Taiwan, China
3194;kvk;Korean Sign Language;Sign Language, Deaf Sign Language, JSLic;37.47179;127.60859;Eurasia;South Korea
3683;jsl;Japanese Sign Language;Sign Language, Deaf Sign Language, JSLic;36.02213;139.07918;Eurasia;Japan
3785;cse;Czech Sign Language;Sign Language, Deaf Sign Language, LSFic, Central European Sign;50.01201;14.4774;Eurasia;Czech Republic
3786;mdl;Maltese Sign Language;Sign Language, Deaf Sign Language;35.90695;14.48244;Eurasia;Malta 
4731;cds;Chadian Sign Language;Sign Language, Deaf Sign Language, ASLic, Nigerian Sign;12.11145;15.24809;Africa;Chad
4946;swl;Swedish Sign Language;Sign Language, Deaf Sign Language, Swedish Sign;58.92897;16.11326;Eurasia;Sweden
4952;asq;Austrian Sign Language;Sign Language, Deaf Sign Language, LSFic;48.11967;16.22499;Eurasia;Austria
4980;csq;Croatia Sign Language;Sign Language, Deaf Sign Language, LSFic, Yugoslav Sign;45.502;16.796;Eurasia;Croatia
5186;nbs;Namibian Sign Language;Sign Language, Deaf Sign Language, BSLic, South African Sign;-22.6;17.048;Africa;Namibia
5207;ysl;Yugoslavian Sign Language;Sign Language, Deaf Sign Language, LSFic, Yugoslav Sign;45.39123;17.519265;Eurasia;Slovenia, Serbia
5212;lbs;Libyan Sign Language;Sign Language, Deaf Sign Language, Arab Sign;29.512;17.573;Africa;Libya
5236;nzs;New Zealand Sign Language;Sign Language, Deaf Sign Language, BSLic, BANZL;-39.29225;175.77257;Papua;New Zealand 
5254;svk;Slovakian Sign Language;Sign Language, Deaf Sign Language, LSFic, Central European Sign;48.04632;18.12475;Eurasia;Slovakia
5324;hsh;Hungarian Sign Language;Sign Language, Deaf Sign Language, LSFic, Central European Sign;47.122;19.264;Eurasia;Hungary
5355;lsg;Lyons Sign Language;Sign Language, Deaf Sign Language;48.56422;2.36811;Eurasia;France
5396;pso;Polish Sign Language;Sign Language, Deaf Sign Language, DGSic;52.00414;20.76105;Eurasia;Poland
5488;gss;Greek Sign Language;Sign Language, Deaf Sign Language, LSFic;38.05355;23.37624;Eurasia;Greece
5502;lls;Lithuanian Sign Language;Sign Language, Deaf Sign Language, Russian Sign;55.24867;23.88138;Eurasia;Lithuania
5520;lsl;Latvian Sign Language;Sign Language, Deaf Sign Language, LSFic;56.93354;24.4931;Eurasia;Latvia
5522;eso;Estonian Sign Language;Sign Language, Deaf Sign Language;58.947;24.566;Eurasia;Estonia
5534;bqn;Bulgarian Sign Language;Sign Language, Deaf Sign Language, LSFic, Central European Sign;42.79184;25.00265;Eurasia;Bulgaria
5536;fse;Finnish Sign Language;Sign Language, Deaf Sign Language, Swedish Sign, Finnish Sign;60.66099;25.06767;Eurasia;Finland
5566;rms;Romanian Sign Language;Sign Language, Deaf Sign Language, LSFic, Central European Sign;44.92922;26.2924;Eurasia;Romania
5568;fss;Finland-Swedish Sign Language;Sign Language, Deaf Sign Language, Swedish Sign, Finnish Sign;62.111;26.328;Eurasia;Finland
5629;sfs;South African Sign Language;Sign Language, Deaf Sign Language, BSLic, South African Sign;-25.96551;28.11864;Africa;South Africa
5647;vsi;Moldova Sign Language;Sign Language, Deaf Sign Language, Russian Sign;47.107;28.694;Eurasia;Moldova
5653;tsm;Turkish Sign Language;Sign Language, Deaf Sign Language;41.02675;28.85551;Eurasia;Turkey
5658;zsl;Zambian Sign Language;Sign Language, Deaf Sign Language;-15.51343;28.98984;Africa;Zambia
5693;esl;Egypt Sign Language;Sign Language, Deaf Sign Language, Arab Sign;29.567;29.654;Africa;Egypt
5720;nsi;Nigerian Sign Language;Sign Language, Deaf Sign Language, ASLic, Nigerian Sign;6.49997;3.16664;Africa;Nigeria
5725;asp;Algerian Sign Language;Sign Language, Deaf Sign Language, LSFic;36.4762;3.5462;Africa;Algeria
5766;ukl;Ukrainian Sign Language;Sign Language, Deaf Sign Language, Russian Sign;50.41113;30.55304;Eurasia;Ukraine
5787;zib;Zimbabwe Sign Language;Sign Language, Deaf Sign Language;-17.91276;31.02158;Africa;Zimbabwe
5833;ugn;Ugandan Sign Language;Sign Language, Deaf Sign Language, ASLic;0.2475;32.4829;Africa;Uganda
5920;mzy;Mozambican Sign Language;Sign Language, Deaf Sign Language;-19.811;34.613;Africa;Mozambique
5939;isr;Israeli Sign Language;Sign Language, Deaf Sign Language, DGSic;31.5279;34.76366;Eurasia;Israel
6010;jos;Levantine Arabic Sign Language;Sign Language, Deaf Sign Language, Arab Sign, Levantine-Iraqi Sign;31.82024;36.0829;Eurasia;Jordan
6058;xki;Kenyan Sign Language;Sign Language, Deaf Sign Language;-1.00166;37.19953;Africa;Kenya 
6134;eth;Ethiopian Sign Language;Sign Language, Deaf Sign Language, ASLic;8.9761;38.85339;Africa;Ethiopia
6143;tza;Tanzanian Sign Language;Sign Language, Deaf Sign Language;-6.82431;39.12697;Africa;Tanzania 
6165;sfb;Langue des signes de Belgique Francophone;Sign Language, Deaf Sign Language, LSFic, Dutch-Flemish Sign, Belgian Sign;50.8021;4.31312;Eurasia;Belgium
6166;vgt;Vlaamse Gebarentaal;Sign Language, Deaf Sign Language, LSFic, Dutch-Flemish Sign, Belgian Sign;50.8021;4.31312;Eurasia;Belgium 
6179;dse;Dutch Sign Language;Sign Language, Deaf Sign Language, LSFic, Dutch-Flemish Sign;52.12512;4.91133;Eurasia;Netherlands
6232;aen;Armenian Sign Language;Sign Language, Deaf Sign Language;40.10023;44.47668;Eurasia;Armenia
6270;sdl;Saudi Arabian Sign Language;Sign Language, Deaf Sign Language;23.61401;46.47139;Eurasia;Saudi Arabia
6278;mzc;Madagascar Sign Language;Sign Language, Deaf Sign Language, LSFic, Norwegian Sign;-19.04;46.87;Africa;Madagascar
6382;psc;Persian Sign Language;Sign Language, Deaf Sign Language;35.69219;51.09964;Eurasia;Iran
6494;ssr;Swiss-French Sign Language;Sign Language, Deaf Sign Language, LSFic;46.72252;6.78425;Eurasia;Switzerland
6531;pks;Pakistan Sign Language;Sign Language, Deaf Sign Language, Indo-Pakistani-Nepalese Sign, Indo-Pakistani Sign;28.06668;67.88427;Eurasia;Pakistan
6559;hsl;Hausa Sign Language;Sign Language, Deaf Sign Language;8.486;7.168;Africa;Nigeria
6565;gsg;German Sign Language;Sign Language, Deaf Sign Language, DGSic;50.81543;7.30478;Eurasia;Germany
6818;ins;Indian Sign Language;Sign Language, Deaf Sign Language, Indo-Pakistani-Nepalese Sign, Indo-Pakistani Sign;27.5185633333;79.6786866667;Eurasia;Pakistan, India, Bangladesh
6822;sqs;Sri Lankan Sign Language;Sign Language, Deaf Sign Language;7.10588;79.85696;Eurasia;Sri Lanka
6934;slf;Swiss-Italian Sign Language;Sign Language, Deaf Sign Language, LSFic, Italian Sign;46.30761;8.79111;Eurasia;Switzerland
7071;nsp;Nepalese Sign Language;Sign Language, Deaf Sign Language, Indo-Pakistani-Nepalese Sign;27.6993;85.30407;Eurasia;Nepal
7179;sgg;Swiss-German Sign Language;Sign Language, Deaf Sign Language, DGSic;47.10693;9.07557;Eurasia;Switzerland
7578;csd;Chiangmai Sign Language;Sign Language, Deaf Sign Language, Old Chiangmai-Bangkok-Haiphong Sign, Old Chiangmai-Bangkok Sign;18.86295;99.03901;Eurasia;Thailand
7992;afg;Afghan Sign Language;Sign Language, Deaf Sign Language;34.434167;70.447778;Eurasia;Afghanistan
7993;lsy;Mauritian Sign Language;Sign Language, Deaf Sign Language;-20.166667;57.516667;Africa;Mauritius
7994;NOCODE_Burkina-Faso-Sign;Burkina Faso Sign Language;Sign Language, Deaf Sign Language;12.357222;-1.535278;Africa;Burkina Faso
7995;NOCODE_Mofu-Gudur-Sign-Language;Mofu-Gudur Sign Language;Sign Language, Deaf Sign Language;11;14.5;Africa;Cameroon
7996;NOCODE_Tijuana-Sign;Tijuana Sign Language;Sign Language, Deaf Sign Language;NA;NA;North America;Mexico
7997;NOCODE_Yoruba-Sign;Yoruba Sign Language;Sign Language, Deaf Sign Language;7.466667;4.566667;Africa;Nigeria
7998;sqk;Albanian Sign Language;Sign Language, Deaf Sign Language;41.328889;19.817778;Eurasia;Albania
7999;NOCODE_Kuwaiti-Sign;Kuwaiti Sign Language;Sign Language, Deaf Sign Language, Arab Sign;29.366667;47.966667;Eurasia;Kuwait
8000;NOCODE_Yemeni-Sign;Yemeni Sign Language;Sign Language, Deaf Sign Language, Arab Sign;15.348333;44.206389;Eurasia;Yemen
8001;NOCODE_Iraqi-Sign;Iraqi Sign Language;Sign Language, Deaf Sign Language, Arab Sign, Levantine-Iraqi Sign;33.333333;44.383333;North America;Iraq
8002;lsp;Panamanian Sign Language;Sign Language, Deaf Sign Language, ASLic;8.966667;-79.533333;North America;Panama
8003;lst;Trinidad and Tobago Sign Language;Sign Language, Deaf Sign Language, ASLic;10.666667;-61.516667;North America;Trinidad and Tobago
8004;NOCODE_Gambian-Sign;Gambian Sign Language;Sign Language, Deaf Sign Language, ASLic;13.455062; -16.679880;Africa;Gambia
8005;jls;Jamaican Sign Language;Sign Language, Deaf Sign Language, ASLic, American Sign;18.049925;-77.758042;North America;Jamaica
8006;pgz;Papua New Guinean Sign Language;Sign Language, Deaf Sign Language, BSLic, BANZL, Australian-PNG Sign;-9.5;147.116667;NA;Papua New Guinea
8007;hks;Hong Kong-Macau Sign Language;Sign Language, Deaf Sign Language, CSLic, Nuclear CSLic;22.160631;113.555225;Eurasia;China
8008;vsv;Valencian Sign Language;Sign Language, Deaf Sign Language, LSFic, Catalan Sign;39.5;-0.75;Eurasia;Spain
8009;NOCODE_Old-Bangkok-Sign;Old Bangkok Sign Language;Sign Language, Deaf Sign Language, Old Chiangmai-Bangkok-Haiphong Sign, Old Chiangmai-Bangkok Sign;13.75;100.466667;Eurasia;Thailand
8010;pys;Paraguayan Sign Language;Sign Language, Deaf Sign Language, Paraguay-Uruguay Sign;-25.266667;-57.666667;South America;Paraguay
8011;NOCODE_Georgian-Sign;Georgian Sign Language;Sign Language, Deaf Sign Language, Russian Sign;41.716667;44.783333;Eurasia;Georgia
8012;NOCODE_Guyana-Sign;Guyana Sign Language;Sign Language, Deaf Sign Language, Unclassified Deaf Sign Language;6.8;-58.166667;South America;Guyana
8013;ils;International Sign;Sign Language, Pidgin Sign Language;49.735796;-30.077155;North America;United States
8014;gds;Ghandruk Sign Language;Sign Language, Village Sign Language;28.377;83.807;Eurasia;Nepal
8015;iks;Inuit Sign Language;Sign Language, Village Sign Language;63.748611;-68.519722;NA;Canada
8016;jhs;Jhankot Sign Language;Sign Language, Village Sign Language;28.933333;82.9;Eurasia;Nepal
8017;jus;Jumla Sign Language;Sign Language, Village Sign Language;29.275278;82.183333;Eurasia;Nepal
8018;NOCODE_Alipur-Sign;Alipur Sign Language;Sign Language, Village Sign Language;16.843564;77.107525;Eurasia;India
